type_species,Species,Author,Subspecies,Order,Family,change,sp#
,Acanthocercus atricollis,(SMITH 1849),,Sauria,Agamidae,,10041
,Acanthocercus branchi,"WAGNER, GREENBAUM & BAUER 2012",,Sauria,Agamidae,,10042
,Acanthocercus ceriacoi,"MARQUES, PARRINHA, SANTOS, BANDEIRA, BUTLER, SOUSA, BAUER & WAGNER 2022",,Sauria,Agamidae,new species,24355
,Acanthocercus cyanocephalus,(FALK 1925),,Sauria,Agamidae,,21725
x,Acanthocercus cyanogaster,(RÜPPELL 1835),,Sauria,Agamidae,,10043
,Acanthocercus gregorii,(GÜNTHER 1894),,Sauria,Agamidae,,21726
,Acanthocercus guentherpetersi,LARGEN & SPAWLS 2006,,Sauria,Agamidae,,10044
,Acanthocercus kiwuensis,(KLAUSEWITZ 1957),,Sauria,Agamidae,,21727
,Acanthocercus margaritae,"WAGNER, BUTLER, CERÍACO & BAUER 2021",,Sauria,Agamidae,new species,24245
,Acanthocercus minutus,(KLAUSEWITZ 1957),,Sauria,Agamidae,,21729
,Acanthocercus phillipsii,(BOULENGER 1895),,Sauria,Agamidae,,10045
,Acanthocercus ugandaensis,(KLAUSEWITZ 1957),,Sauria,Agamidae,,21728
,Acanthocercus yemensis,(KLAUSEWITZ 1954),,Sauria,Agamidae,,10046
,Acanthochelys macrocephala,"(RHODIN, MITTERMEIER & MCMORRIS 1984)",,Testudines,Chelidae,,10047
,Acanthochelys pallidipectoris,(FREIBERG 1945),,Testudines,Chelidae,,10048
,Acanthochelys radiolata,(MIKAN 1820),,Testudines,Chelidae,,10049
x,Acanthochelys spixii,(DUMÉRIL & BIBRON 1835),,Testudines,Chelidae,,10050
,Acanthodactylus aegyptius,BAHA EL DIN 2007,,Sauria,Lacertidae,,10051
,Acanthodactylus ahmaddisii,WERNER 2004,,Sauria,Lacertidae,,10052
,Acanthodactylus arabicus,BOULENGER 1918,,Sauria,Lacertidae,,10053
,Acanthodactylus aureus,GÜNTHER 1903,,Sauria,Lacertidae,,10054
,Acanthodactylus bedriagai,LATASTE 1881,,Sauria,Lacertidae,,10055
,Acanthodactylus beershebensis,"MORAVEC, EL DIN, SELIGMANN, SIVAN & WERNER 1999",,Sauria,Lacertidae,,10056
,Acanthodactylus blanci,DOUMERGUE 1901,,Sauria,Lacertidae,,10057
,Acanthodactylus blanfordii,BOULENGER 1918,,Sauria,Lacertidae,,10058
x,Acanthodactylus boskianus,(DAUDIN 1802),"Acanthodactylus boskianus asper (AUDOUIN 1829)
Acanthodactylus boskianus boskianus (DAUDIN 1802)
Acanthodactylus boskianus euphraticus BOULENGER 1919",Sauria,Lacertidae,,10059
,Acanthodactylus boueti,CHABANAUD 1917,,Sauria,Lacertidae,,10060
,Acanthodactylus busacki,SALVADOR 1982,,Sauria,Lacertidae,,10061
,Acanthodactylus cantoris,GÜNTHER 1864,,Sauria,Lacertidae,,10062
,Acanthodactylus dumerilii,(MILNE-EDWARDS 1829),,Sauria,Lacertidae,,10063
,Acanthodactylus erythrurus,(SCHINZ 1833),"Acanthodactylus erythrurus atlanticus BOULENGER 1918
Acanthodactylus erythrurus belli GRAY 1845
Acanthodactylus erythrurus erythrurus (SCHINZ 1833)
Acanthodactylus erythrurus lineomaculatus (DUMÉRIL & BIBRON 1839)",Sauria,Lacertidae,,10064
,Acanthodactylus felicis,ARNOLD 1980,,Sauria,Lacertidae,,10065
,Acanthodactylus gongrorhynchatus,LEVITON & ANDERSON 1967,,Sauria,Lacertidae,,10066
,Acanthodactylus grandis,BOULENGER 1909,,Sauria,Lacertidae,,10067
,Acanthodactylus guineensis,(BOULENGER 1887),,Sauria,Lacertidae,,10068
,Acanthodactylus haasi,LEVITON & ANDERSON 1967,,Sauria,Lacertidae,,10069
,Acanthodactylus hardyi,HAAS 1957,,Sauria,Lacertidae,,10070
,Acanthodactylus harranensis,"BARAN, KUMLUTAS, LANZA, SINDACO, AVCI & CRUCITTI 2005",,Sauria,Lacertidae,,10071
,Acanthodactylus ilgazi,KURNAZ & ?AHIN 2021,,Sauria,Lacertidae,,23786
,Acanthodactylus khamirensis,"HEIDARI, RASTEGAR-POUYANI, RASTEGAR-POUYANI & RAJABIZADEH 2013",,Sauria,Lacertidae,,10072
,Acanthodactylus lacrymae,"MIRALLES, GENIEZ, BEDDEK, MENDEZ-ARANDA, BRITO, LEBLOIS & CROCHET 2020",,Sauria,Lacertidae,,22722
,Acanthodactylus longipes,BOULENGER 1918,,Sauria,Lacertidae,,10074
,Acanthodactylus maculatus,(GRAY 1838),,Sauria,Lacertidae,,10075
,Acanthodactylus margaritae,"TAMAR, GENIEZ, BRITO & CROCHET 2017",,Sauria,Lacertidae,,21046
,Acanthodactylus masirae,ARNOLD 1980,,Sauria,Lacertidae,,10076
,Acanthodactylus micropholis,BLANFORD 1874,,Sauria,Lacertidae,,10077
,Acanthodactylus montanus,"MIRALLES, GENIEZ, BEDDEK, MENDEZ-ARANDA, BRITO, LEBLOIS & CROCHET 2020",,Sauria,Lacertidae,,22725
,Acanthodactylus nilsoni,RASTEGAR-POUYANI 1998,,Sauria,Lacertidae,,10078
,Acanthodactylus opheodurus,ARNOLD 1980,,Sauria,Lacertidae,,10079
,Acanthodactylus orientalis,ANGEL 1936,,Sauria,Lacertidae,,10080
,Acanthodactylus pardalis,(LICHTENSTEIN 1823),,Sauria,Lacertidae,,10081
,Acanthodactylus robustus,WERNER 1929,,Sauria,Lacertidae,,10082
,Acanthodactylus savignyi,(AUDOUIN 1827),,Sauria,Lacertidae,,10083
,Acanthodactylus schmidti,HAAS 1957,,Sauria,Lacertidae,,10084
,Acanthodactylus schreiberi,BOULENGER 1878,,Sauria,Lacertidae,,10085
,Acanthodactylus scutellatus,(AUDOUIN 1827),"Acanthodactylus scutellatus audouini BOULENGER 1918
Acanthodactylus scutellatus scutellatus (AUDOUIN 1827)",Sauria,Lacertidae,,10086
,Acanthodactylus senegalensis,CHABANAUD 1918,,Sauria,Lacertidae,,10087
,Acanthodactylus spinicauda,DOUMERGUE 1901,,Sauria,Lacertidae,,10088
,Acanthodactylus taghitensis,GENIEZ & FOUCART 1995,,Sauria,Lacertidae,,10089
,Acanthodactylus tilburyi,ARNOLD 1986,,Sauria,Lacertidae,,10090
,Acanthodactylus tristrami,(GÜNTHER 1864),,Sauria,Lacertidae,,10091
