type_species,Species,Author,Subspecies,Order,Family,change,sp#
,Calamaria crassa,LIDTH DE JEUDE 1922,,Serpentes,Colubridae,,11832
,Calamaria curta,BOULENGER 1896,,Serpentes,Colubridae,,11833
,Calamaria doederleini,GOUGH 1902,,Serpentes,Colubridae,,11834
,Calamaria dominici,"ZIEGLER, TRAN & NGUYEN 2019",,Serpentes,Colubridae,,22144
,Calamaria eiselti,INGER & MARX 1965,,Serpentes,Colubridae,,11835
,Calamaria everetti,BOULENGER 1893,,Serpentes,Colubridae,,11836
,Calamaria forcarti,INGER & MARX 1965,,Serpentes,Colubridae,,11837
,Calamaria gervaisii,"DUMÉRIL, BIBRON  & DUMÉRIL 1854",,Serpentes,Colubridae,,11838
,Calamaria gialaiensis,"ZIEGLER, SANG & TRUONG 2009",,Serpentes,Colubridae,,11839
,Calamaria grabowskyi,FISCHER 1885,,Serpentes,Colubridae,,11840
,Calamaria gracillima,(GÜNTHER 1872),,Serpentes,Colubridae,,11841
,Calamaria griswoldi,LOVERIDGE 1938,,Serpentes,Colubridae,,11842
,Calamaria hilleniusi,INGER & MARX 1965,,Serpentes,Colubridae,,11843
,Calamaria ingeri,"GRISMER, KAISER & YAAKOB 2004",,Serpentes,Colubridae,,11844
,Calamaria javanica,BOULENGER 1891,,Serpentes,Colubridae,,11845
,Calamaria joloensis,TAYLOR 1922,,Serpentes,Colubridae,,11846
,Calamaria lateralis,MOCQUARD 1890,,Serpentes,Colubridae,,11847
,Calamaria lautensis,DE ROOIJ 1917,,Serpentes,Colubridae,,11848
,Calamaria leucogaster,BLEEKER 1860,,Serpentes,Colubridae,,11849
x,Calamaria linnaei,BOIE 1827,,Serpentes,Colubridae,,11850
,Calamaria longirostris,HOWARD & GILLESPIE 2007,,Serpentes,Colubridae,,11851
,Calamaria lovii,BOULENGER 1887,"Calamaria lovii gimletti BOULENGER 1905
Calamaria lovii lovii BOULENGER 1887
Calamaria lovii wermuthi INGER & MARX 1965
Calamaria lovii ingermarxorum DAREVSKY & ORLOV 1992",Serpentes,Colubridae,,11852
,Calamaria lumbricoidea,BOIE 1827,,Serpentes,Colubridae,,11853
,Calamaria lumholtzi,ANDERSSON 1923,,Serpentes,Colubridae,,11854
,Calamaria margaritophora,BLEEKER 1860,,Serpentes,Colubridae,,11855
,Calamaria mecheli,SCHENKEL 1901,,Serpentes,Colubridae,,11856
,Calamaria melanota,JAN 1862,,Serpentes,Colubridae,,11857
,Calamaria modesta,"DUMÉRIL, BIBRON  & DUMÉRIL 1854",,Serpentes,Colubridae,,11858
,Calamaria muelleri,BOULENGER 1896,,Serpentes,Colubridae,,11859
,Calamaria nebulosa,LEE 2021,,Serpentes,Colubridae,,24148
,Calamaria nuchalis,BOULENGER 1896,,Serpentes,Colubridae,,11860
,Calamaria palavanensis,INGER & MARX 1965,,Serpentes,Colubridae,,11861
,Calamaria pavimentata,"DUMÉRIL, BIBRON  & DUMÉRIL 1854","Calamaria pavimentata miyarai TAKARA 1962
Calamaria pavimentata pavimentata DUMÉRIL, BIBRON & DUMÉRIL 1854",Serpentes,Colubridae,,11862
,Calamaria pfefferi,STEJNEGER 1901,,Serpentes,Colubridae,,11863
,Calamaria prakkei,LIDTH DE JEUDE 1893,,Serpentes,Colubridae,,11864
,Calamaria rebentischi,BLEEKER 1860,,Serpentes,Colubridae,,11865
,Calamaria sangi,"NGUYEN, KOCH & ZIEGLER 2009",,Serpentes,Colubridae,,11866
,Calamaria schlegeli,"DUMÉRIL, BIBRON  & DUMÉRIL 1854","Calamaria schlegeli schlegeli DUMÉRIL, BIBRON & DUMÉRIL 1854
Calamaria schlegeli cuvieri JAN 1862",Serpentes,Colubridae,,11867
,Calamaria schmidti,MARX & INGER 1955,,Serpentes,Colubridae,,11868
,Calamaria septentrionalis,BOULENGER 1890,,Serpentes,Colubridae,,11869
,Calamaria strigiventris,"POYARKOV, NGUYEN, ORLOV & VOGEL 2019",,Serpentes,Colubridae,,22545
,Calamaria suluensis,TAYLOR 1922,,Serpentes,Colubridae,,11870
,Calamaria sumatrana,EDELING 1870,,Serpentes,Colubridae,,11871
,Calamaria thanhi,ZIEGLER & QUYET 2005,,Serpentes,Colubridae,,11872
,Calamaria ulmeri,SACKETT 1940,,Serpentes,Colubridae,,11873
,Calamaria virgulata,BOIE 1827,,Serpentes,Colubridae,,11874
,Calamaria yunnanensis,CHERNOV 1962,,Serpentes,Colubridae,,11875
x,Calamodontophis paucidens,(AMARAL 1936),,Serpentes,Colubridae,,11876
,Calamodontophis ronaldoi,"FRANCO, DE CARVALHO CINTRA & DE LEMA 2006",,Serpentes,Colubridae,,11877
x,Calamophis jobiensis,MEYER 1874,,Serpentes,Homalopsidae,,11878
,Calamophis katesandersae,MURPHY 2012,,Serpentes,Homalopsidae,,11879
,Calamophis ruuddelangi,MURPHY 2012,,Serpentes,Homalopsidae,,11880
,Calamophis sharonbrooksae,MURPHY 2012,,Serpentes,Homalopsidae,,11881
,Calamorhabdium acuticeps,AHL 1933,,Serpentes,Colubridae,,11882
x,Calamorhabdium kuekenthali,BOETTGER 1898,,Serpentes,Colubridae,,11883
,Caledoniscincus aquilonius,"SADLIER, BAUER & COLGAN 1999",,Sauria,Scincidae,,11884
,Caledoniscincus atropunctatus,(ROUX 1913),,Sauria,Scincidae,,11885
,Caledoniscincus auratus,"SADLIER, BAUER & COLGAN 1999",,Sauria,Scincidae,,11886
x,Caledoniscincus austrocaledonicus,(BAVAY 1869),,Sauria,Scincidae,,11887
,Caledoniscincus chazeaui,"SADLIER, BAUER & COLGAN 1999",,Sauria,Scincidae,,11888
,Caledoniscincus constellatus,"SADLIER, WHITAKER, WOOD & BAUER 2012",,Sauria,Scincidae,,11889
,Caledoniscincus cryptos,"SADLIER, BAUER & COLGAN 1999",,Sauria,Scincidae,,11890
,Caledoniscincus festivus,(ROUX 1913),,Sauria,Scincidae,,11891
,Caledoniscincus haplorhinus,(GÜNTHER 1872),,Sauria,Scincidae,,11892
,Caledoniscincus notialis,"SADLIER, SMITH, BAUER & WOOD 2013",,Sauria,Scincidae,,11893
,Caledoniscincus orestes,SADLIER 1987,,Sauria,Scincidae,,11894
,Caledoniscincus pelletieri,"SADLIER, WHITAKER, WOOD & BAUER 2014",,Sauria,Scincidae,,11895
,Caledoniscincus renevieri,"SADLIER, BAUER & COLGAN 1999",,Sauria,Scincidae,,11896
,Caledoniscincus terma,"SADLIER, BAUER & COLGAN 1999",,Sauria,Scincidae,,11897
,Calliophis beddomei,SMITH 1943,,Serpentes,Elapidae,,11898
,Calliophis bibroni,(JAN 1858),,Serpentes,Elapidae,,11899
,Calliophis bilineatus,(PETERS 1881),,Serpentes,Elapidae,,22371
,Calliophis bivirgatus,(BOIE 1827),"Calliophis bivirgatus flaviceps (CANTOR 1839)
Calliophis bivirgatus bivirgatus (BOIE 1827)
Calliophis bivirgatus tetrataenius (BLEEKER 1859)",Serpentes,Elapidae,,11900
,Calliophis castoe,"SMITH, OGALE, DEEPAK & GIRI 2012",,Serpentes,Elapidae,,11901
x,Calliophis gracilis,GRAY 1834,,Serpentes,Elapidae,,11902
,Calliophis haematoetron,"SMITH, MANAMENDRA-ARACHCHI & SOMAWEERA 2008",,Serpentes,Elapidae,,11903
,Calliophis intestinalis,(LAURENTI 1768),"Calliophis intestinalis intestinalis (LAURENTI 1768)
Calliophis intestinalis lineata (GRAY in GRAY & HARDWICKE 1835)
Calliophis intestinalis thepassi (BLEEKER 1859)",Serpentes,Elapidae,,11904
,Calliophis maculiceps,(GÜNTHER 1858),"Calliophis maculiceps atrofrontalis (SAUVAGE 1877)
Calliophis maculiceps maculiceps (GÜNTHER 1858)
Calliophis maculiceps smithi KLEMMER 1963",Serpentes,Elapidae,,11905
,Calliophis melanurus,(SHAW 1802),"Calliophis melanurus sinhaleyus DERANIYAGALA 1951
Calliophis melanurus melanurus (SHAW 1802)",Serpentes,Elapidae,,11906
,Calliophis nigrescens,(GÜNTHER 1862),"Calliophis nigrescens nigrescens GÜNTHER 1862
Calliophis nigrescens khandallensis WALL 1913",Serpentes,Elapidae,,11907
,Calliophis nigrotaeniatus,(PETERS 1863),,Serpentes,Elapidae,,23405
,Calliophis philippinus,(GÜNTHER 1864),,Serpentes,Elapidae,,22372
,Calliophis salitan,"BROWN, SMART, LEVITON & SMITH 2018",,Serpentes,Elapidae,,21230
,Calliophis suluensis,(STEINDACHNER 1891),,Serpentes,Elapidae,,22373
x,Callisaurus draconoides,BLAINVILLE 1835,"Callisaurus draconoides bogerti MARTIN DEL CAMPO 1943
Callisaurus draconoides brevipes BOGERT & DORSON 1942
Callisaurus draconoides carmenensis DICKERSON 1919
Callisaurus draconoides crinitus COPE 1896
Callisaurus draconoides draconoides BLAINVILLE 1835
Callisaurus draconoides inusitatus DICKERSON 1919
Callisaurus draconoides myurus RICHARDSON 1915
Callisaurus draconoides rhodostictus COPE 1896
Callisaurus draconoides ventralis (HALLOWELL 1852)",Sauria,Phrynosomatidae,,11908
,Callopistes flavipunctatus,(DUMÉRIL & BIBRON 1839),,Sauria,Teiidae,,11909
x,Callopistes maculatus,GRAVENHORST 1838,"Callopistes maculatus maculatus GRAVENHORST 1838
Callopistes maculatus atacamensis DONOSO-BARROS 1960
Callopistes maculatus manni DONOSO-BARROS 1960",Sauria,Teiidae,,11910
x,Calloselasma rhodostoma,(KUHL 1824),,Serpentes,Viperidae,,11911
x,Calodactylodes aureus,(BEDDOME 1870),,Sauria,Gekkonidae,,11912
,Calodactylodes illingworthorum,DERANIYAGALA 1953,,Sauria,Gekkonidae,,11913
,Calotes bachae,"HARTMANN, GEISSLER, POYARKOV, IHLOW, GALOYAN, RÖDDER & BÖHME 2013",,Sauria,Agamidae,,11915
,Calotes bhutanensis,BISWAS 1975,,Sauria,Agamidae,,11916
x,Calotes calotes,(LINNAEUS 1758),,Sauria,Agamidae,,11917
,Calotes ceylonensis,MÜLLER 1887,,Sauria,Agamidae,,11918
,Calotes chincollium,VINDUM 2003,,Sauria,Agamidae,,11919
,Calotes desilvai,BAHIR & MADUWAGE 2005,,Sauria,Agamidae,,11920
,Calotes emma,GRAY 1845,"Calotes emma alticristatus SCHMIDT 1925
Calotes emma emma GRAY 1845",Sauria,Agamidae,,11922
,Calotes farooqi,AUFFENBERG & REHMANN 1995,,Sauria,Agamidae,,24227
,Calotes geissleri,"WAGNER, IHLOW, HARTMANN, FLECKS, SCHMITZ & BÖHME 2021",,Sauria,Agamidae,,24166
,Calotes goetzi,"WAGNER, IHLOW, HARTMANN, FLECKS, SCHMITZ & BÖHME 2021",,Sauria,Agamidae,,24169
,Calotes grandisquamis,GÜNTHER 1875,,Sauria,Agamidae,,11923
,Calotes htunwini,ZUG & VINDUM 2006,,Sauria,Agamidae,,11924
,Calotes irawadi,"ZUG, BROWN, SCHULTE & VINDUM 2006",,Sauria,Agamidae,,11925
,Calotes jerdoni,GÜNTHER 1870,,Sauria,Agamidae,,11926
,Calotes liocephalus,GÜNTHER 1872,,Sauria,Agamidae,,11927
,Calotes liolepis,BOULENGER 1885,,Sauria,Agamidae,,11928
,Calotes manamendrai,AMARASINGHE & KARUNARATHNA 2014,,Sauria,Agamidae,,11929
,Calotes maria,GRAY 1845,,Sauria,Agamidae,,11930
,Calotes medogensis,ZHAO & LI 1984,,Sauria,Agamidae,,11931
,Calotes minor,(HARDWICKE & GRAY 1827),,Sauria,Agamidae,,11713
,Calotes mystaceus,DUMÉRIL & BIBRON 1837,,Sauria,Agamidae,,11932
,Calotes nemoricola,JERDON 1853,,Sauria,Agamidae,,11933
,Calotes nigrilabris,PETERS 1860,,Sauria,Agamidae,,11934
,Calotes nigriplicatus,HALLERMANN 2000,,Sauria,Agamidae,,11935
,Calotes paulus,(SMITH 1935),,Sauria,Agamidae,,16920
,Calotes pethiyagodai,"AMARASINGHE, KARUNARATHNA, HALLERMANN 2014",,Sauria,Agamidae,,11936
,Calotes versicolor,(DAUDIN 1802),,Sauria,Agamidae,,11938
,Calotes vindumbarbatus,"WAGNER, IHLOW, HARTMANN, FLECKS, SCHMITZ & BÖHME 2021",,Sauria,Agamidae,,24172
,Calotes zolaiking,"GIRI, CHAITANYA, MAHONY, LALRONUNGA, LALRINCHHANA, DAS, SARKAR, KARANTH & DEEPAK 2019",,Sauria,Agamidae,,22221
,Calumma amber,RAXWORTHY & NUSSBAUM 2006,,Sauria,Chamaeleonidae,,11939
,Calumma ambreense,(RAMANANTSOA 1974),,Sauria,Chamaeleonidae,,11940
,Calumma andringitraense,"(BRYGOO, BLANC & DOMERGUE 1972)",,Sauria,Chamaeleonidae,,11941
,Calumma boettgeri,(BOULENGER 1888),,Sauria,Chamaeleonidae,,11942
,Calumma brevicorne,(GÜNTHER 1879),"Calumma brevicorne brevicorne GÜNTHER 1879
Calumma brevicorne tsarafidyi BRYGOO & DOMERGUE 1970",Sauria,Chamaeleonidae,,11943
,Calumma capuroni,"(BRYGOO, BLANC & DOMERGUE 1972)",,Sauria,Chamaeleonidae,,11944
,Calumma crypticum,RAXWORTHY & NUSSBAUM 2006,,Sauria,Chamaeleonidae,,11945
x,Calumma cucullatum,(GRAY 1831),,Sauria,Chamaeleonidae,,11946
,Calumma emelinae,"PRÖTZEL, SCHERZ, RATSOAVINA, VENCES & GLAW 2020",,Sauria,Chamaeleonidae,,22764
,Calumma fallax,(MOCQUARD 1900),,Sauria,Chamaeleonidae,,11947
,Calumma furcifer,(VAILLANT & GRANDIDIER 1880),,Sauria,Chamaeleonidae,,11948
,Calumma gallus,(GÜNTHER 1877),,Sauria,Chamaeleonidae,,11949
,Calumma gastrotaenia,(BOULENGER 1888),,Sauria,Chamaeleonidae,,11950
,Calumma gehringi,"PRÖTZEL, VENCES, SCHERZ, VIEITES & GLAW 2017",,Sauria,Chamaeleonidae,,21088
,Calumma glawi,BÖHME 1997,,Sauria,Chamaeleonidae,,11951
,Calumma globifer,(GÜNTHER 1879),,Sauria,Chamaeleonidae,,11952
,Calumma guibei,(HILLENIUS 1959),,Sauria,Chamaeleonidae,,11953
,Calumma guillaumeti,"(BRYGOO, BLANC & DOMERGUE 1974)",,Sauria,Chamaeleonidae,,11954
,Calumma hafahafa,RAXWORTHY & NUSSBAUM 2006,,Sauria,Chamaeleonidae,,11955
,Calumma hilleniusi,"(BRYGOO, BLANC & DOMERGUE 1973)",,Sauria,Chamaeleonidae,,11956
,Calumma jejy,RAXWORTHY & NUSSBAUM 2006,,Sauria,Chamaeleonidae,,11957
,Calumma juliae,"PRÖTZEL, VENCES, HAWLITSCHEK, SCHERZ, RATSOAVINA & GLAW 2018",,Sauria,Chamaeleonidae,,21337
,Calumma lefona,"PRÖTZEL, VENCES, HAWLITSCHEK, SCHERZ, RATSOAVINA & GLAW 2018",,Sauria,Chamaeleonidae,,21334
,Calumma linotum,(MÜLLER 1924),,Sauria,Chamaeleonidae,,20274
,Calumma malthe,(GÜNTHER 1879),,Sauria,Chamaeleonidae,,11958
,Calumma marojezense,"(BRYGOO, BLANC & DOMERGUE 1970)",,Sauria,Chamaeleonidae,,11959
,Calumma nasutum,(DUMÉRIL & BIBRON 1836),,Sauria,Chamaeleonidae,,11960
,Calumma oshaughnessyi,(GÜNTHER 1881),,Sauria,Chamaeleonidae,,11961
,Calumma parsonii,(CUVIER 1825),"Calumma parsonii cristifer (METHUEN & HEWITT 1913)
Calumma parsonii parsonii (CUVIER 1824)",Sauria,Chamaeleonidae,,11962
,Calumma peltierorum,RAXWORTHY & NUSSBAUM 2006,,Sauria,Chamaeleonidae,,11963
,Calumma peyrierasi,"(BRYGOO, BLANC & DOMERGUE 1974)",,Sauria,Chamaeleonidae,,11964
,Calumma radamanus,(MERTENS 1933),,Sauria,Chamaeleonidae,,22786
,Calumma ratnasariae,"PRÖTZEL, SCHERZ, RATSOAVINA, VENCES & GLAW 2020",,Sauria,Chamaeleonidae,,22770
,Calumma roaloko,"PRÖTZEL, LAMBERT, ANDRIANASOLO, HUTTER, COBB, SCHERZ & GLAW 2018",,Sauria,Chamaeleonidae,,21733
,Calumma tarzan,"GEHRING, PABIJAN, RATSOAVINA, KÖHLER, VENCES & GLAW 2010",,Sauria,Chamaeleonidae,,11965
,Calumma tjiasmantoi,"PRÖTZEL, SCHERZ, RATSOAVINA, VENCES & GLAW 2020",,Sauria,Chamaeleonidae,,22767
,Calumma tsaratananense,(BRYGOO & DOMERGUE 1967),,Sauria,Chamaeleonidae,,11966
,Calumma tsycorne,RAXWORTHY & NUSSBAUM 2006,,Sauria,Chamaeleonidae,,11967
,Calumma uetzi,"PRÖTZEL, VENCES, HAWLITSCHEK, SCHERZ, RATSOAVINA & GLAW 2018",,Sauria,Chamaeleonidae,,21331
,Calumma vatosoa,"ANDREONE, MATTIOLI, JESU & RANDRIANIRINA 2001",,Sauria,Chamaeleonidae,,11968
,Calumma vencesi,"ANDREONE, MATTIOLI, JESU & RANDRIANIRINA 2001",,Sauria,Chamaeleonidae,,11969
,Calumma vohibola,"GEHRING, RATSOAVINA, VENCES & GLAW 2011",,Sauria,Chamaeleonidae,,11970
,Calyptommatus confusionibus,"RODRIGUES, ZAHER & CURCIO 2001",,Sauria,Gymnophthalmidae,,11971
,Calyptommatus leiolepis,RODRIGUES 1991,,Sauria,Gymnophthalmidae,,11972
,Calyptommatus nicterus,RODRIGUES 1991,,Sauria,Gymnophthalmidae,,11973
x,Calyptommatus sinebrachiatus,RODRIGUES 1991,,Sauria,Gymnophthalmidae,,11974
,Calyptotis lepidorostrum,GREER 1983,,Sauria,Scincidae,,11975
,Calyptotis ruficauda,GREER 1983,,Sauria,Scincidae,,11976
x,Calyptotis scutirostrum,(PETERS 1874),,Sauria,Scincidae,,11977
,Calyptotis temporalis,GREER 1983,,Sauria,Scincidae,,11978
,Calyptotis thorntonensis,GREER 1983,,Sauria,Scincidae,,11979
,Candoia aspera,(GÜNTHER 1877),"Candoia aspera aspera (GÜNTHER 1877)
Candoia aspera schmidti (STULL 1932)",Serpentes,Boidae,,11980
,Candoia bibroni,(DUMÉRIL & BIBRON 1844),,Serpentes,Boidae,,11981
x,Candoia carinata,(SCHNEIDER 1801),"Candoia carinata carinata (SCHNEIDER 1801)
Candoia carinata tepedeleni SMITH CHISZAR, TEPEDELEN & BREUKELEN 2001",Serpentes,Boidae,,11982
,Candoia paulsoni,(STULL 1956),"Candoia paulsoni paulsoni (STULL 1956)
Candoia paulsoni vindumi SMITH & CHISZAR 2001
Candoia paulsoni tasmai SMITH & TEPEDELEN 2001
Candoia paulsoni mcdowelli SMITH & CHISZAR 2001
Candoia paulsoni sadlieri SMITH & CHISZAR 2001
Candoia paulsoni rosadoi SMITH & CHISZAR 2001",Serpentes,Boidae,,11983
,Candoia superciliosa,(GÜNTHER 1863),"Candoia superciliosa superciliosa (GÜNTHER 1863)
Candoia superciliosa crombiei SMITH et al. 2001",Serpentes,Boidae,,11984
x,Cantoria violacea,GIRARD 1858,,Serpentes,Homalopsidae,,11985
x,Caparaonia itaiquara,"RODRIGUES, CASSIMIRO, PAVAN, CURCIO, KRUTH VERDADE & MACHADO PELLEGRINO 2009",,Sauria,Gymnophthalmidae,,11986
,Capitellum mariagalantae,HEDGES & CONN 2012,,Sauria,Scincidae,,11987
x,Capitellum metallicum,(BOCOURT 1879),,Sauria,Scincidae,,11988
,Capitellum parvicruzae,HEDGES & CONN 2012,,Sauria,Scincidae,,11989
x,Caraiba andreae,(REINHARDT & LÜTKEN 1862),"Caraiba andreae andreae (REINHARDT & LÜTKEN 1862)
Caraiba andreae melopyrrha (THOMAS & GARRIDO 1967)
Caraiba andreae morenoi (GARRIDO 1973)
Caraiba andreae nebulatus (BARBOUR 1916)
Caraiba andreae orientalis (BARBOUR & RAMSDEN 1919)
Caraiba andreae peninsulae (SCHWARTZ & THOMAS 1960)",Serpentes,Colubridae,,11990
x,Caretta caretta,(LINNAEUS 1758),,Testudines,Cheloniidae,,11991
x,Carettochelys insculpta,RAMSAY 1886,,Testudines,Carettochelyidae,,11992
,Carinascincus coventryi,(RAWLINSON 1975),,Sauria,Scincidae,,16693
x,Carinascincus greeni,(RAWLINSON 1975),,Sauria,Scincidae,,16694
,Carinascincus metallicus,(O'SHAUGHNESSY 1874),,Sauria,Scincidae,,16695
,Carinascincus microlepidotus,(O'SHAUGHNESSY 1874),,Sauria,Scincidae,,16696
,Carinascincus ocellatus,(GRAY 1845),,Sauria,Scincidae,,16697
,Carinascincus orocryptus,"(HUTCHINSON, SCHWANER & MEDLOCK 1988)",,Sauria,Scincidae,,16698
,Carinascincus palfreymani,(RAWLINSON 1974),,Sauria,Scincidae,,16699
,Carinascincus pretiosus,(O'SHAUGHNESSY 1874),,Sauria,Scincidae,,16700
,Carlia aenigma,ZUG 2004,,Sauria,Scincidae,,11993
,Carlia ailanpalai,ZUG 2004,,Sauria,Scincidae,,11994
,Carlia amax,STORR 1974,,Sauria,Scincidae,,11995
,Carlia aramia,ZUG 2004,,Sauria,Scincidae,,11996
,Carlia babarensis,(KOPSTEIN 1926),,Sauria,Scincidae,,11997
,Carlia beccarii,(PETERS & DORIA 1878),,Sauria,Scincidae,,11998
,Carlia bicarinata,(MACLEAY 1877),,Sauria,Scincidae,,11999
,Carlia bomberai,ZUG & ALLISON 2006,,Sauria,Scincidae,,12000
,Carlia caesius,ZUG & ALLISON 2006,,Sauria,Scincidae,,12001
,Carlia crypta,"SINGHAL, HOSKIN, COUPER, POTTER & MORITZ 2018",,Sauria,Scincidae,,21319
,Carlia decora,HOSKIN & COUPER 2012,,Sauria,Scincidae,,12002
,Carlia diguliensis,(KOPSTEIN 1926),,Sauria,Scincidae,,12003
,Carlia dogare,COVACEVICH & INGRAM 1975,,Sauria,Scincidae,,12004
,Carlia eothen,ZUG 2004,,Sauria,Scincidae,,12005
x,Carlia fusca,(DUMÉRIL & BIBRON 1839),,Sauria,Scincidae,,12006
,Carlia gracilis,STORR 1974,,Sauria,Scincidae,,12007
,Carlia inconnexa,INGRAM & COVACEVICH 1989,,Sauria,Scincidae,,12008
,Carlia insularis,"AFONSO-SILVA, SANTOS, OGILVIE & MORITZ 2017",,Sauria,Scincidae,,21167
,Carlia isostriacantha,"AFONSO-SILVA, SANTOS, OGILVIE & MORITZ 2017",,Sauria,Scincidae,,21170
,Carlia jarnoldae,COVACEVICH & INGRAM 1975,,Sauria,Scincidae,,12009
,Carlia johnstonei,STORR 1974,,Sauria,Scincidae,,12010
,Carlia leucotaenia,(BLEEKER 1860),,Sauria,Scincidae,,12011
,Carlia longipes,(MACLEAY 1877),,Sauria,Scincidae,,12012
,Carlia luctuosa,(PETERS & DORIA 1878),,Sauria,Scincidae,,12013
,Carlia munda,(DE VIS 1885),,Sauria,Scincidae,,12014
,Carlia mysi,ZUG 2004,,Sauria,Scincidae,,12015
,Carlia nigrauris,ZUG 2010,,Sauria,Scincidae,,12016
,Carlia pectoralis,(DE VIS 1885),,Sauria,Scincidae,,12017
,Carlia peronii,(DUMÉRIL & BIBRON 1839),,Sauria,Scincidae,,12018
,Carlia pulla,(BARBOUR 1911),,Sauria,Scincidae,,12019
,Carlia quinquecarinata,(MACLEAY 1877),,Sauria,Scincidae,,12020
,Carlia rhomboidalis,(PETERS 1869),,Sauria,Scincidae,,12021
,Carlia rostralis,(DE VIS 1885),,Sauria,Scincidae,,12023
,Carlia rubigo,HOSKIN & COUPER 2012,,Sauria,Scincidae,,12024
,Carlia rubrigularis,INGRAM & COVACEVICH 1989,,Sauria,Scincidae,,12025
,Carlia rufilatus,STORR 1974,,Sauria,Scincidae,,12026
,Carlia schmeltzii,(PETERS 1867),,Sauria,Scincidae,,12027
,Carlia sexdentata,(MACLEAY 1877),,Sauria,Scincidae,,12028
,Carlia spinauris,(SMITH 1927),,Sauria,Scincidae,,12029
,Carlia storri,INGRAM & COVACEVICH 1989,,Sauria,Scincidae,,12030
,Carlia sukur,ZUG & KAISER 2014,,Sauria,Scincidae,,12031
,Carlia tetradactyla,(O'SHAUGHNESSY 1879),,Sauria,Scincidae,,12032
,Carlia triacantha,(MITCHELL 1953),,Sauria,Scincidae,,12033
,Carlia tutela,ZUG 2004,,Sauria,Scincidae,,12034
,Carlia vivax,(DE VIS 1884),,Sauria,Scincidae,,12035
,Carlia wundalthini,HOSKIN 2014,,Sauria,Scincidae,,12036
x,Carphodactylus laevis,GÜNTHER 1897,,Sauria,Carphodactylidae,,12037
x,Carphophis amoenus,(SAY 1825),"Carphophis amoenus amoenus (SAY 1825)
Carphophis amoenus helenae (KENNICOTT 1859)",Serpentes,Colubridae,,12038
,Carphophis vermis,(KENNICOTT 1859),,Serpentes,Colubridae,,12039
x,Casarea dussumieri,(SCHLEGEL 1837),,Serpentes,Bolyeriidae,,12040
x,Cathetorhinus melanocephalus,DUMÉRIL & BIBRON 1844,,Serpentes,Gerrhopilidae,,12041
,Causus bilineatus,BOULENGER 1905,,Serpentes,Viperidae,,12042
,Causus defilippii,(JAN 1863),,Serpentes,Viperidae,,12043
,Causus lichtensteinii,(JAN 1859),,Serpentes,Viperidae,,12044
,Causus maculatus,(HALLOWELL 1842),,Serpentes,Viperidae,,12045
,Causus rasmusseni,BROADLEY 2014,,Serpentes,Viperidae,,12046
,Causus resimus,(PETERS 1862),,Serpentes,Viperidae,,12047
x,Causus rhombeatus,(LICHTENSTEIN 1823),,Serpentes,Viperidae,,12048
x,Celatiscincus euryotis,(WERNER 1910),,Sauria,Scincidae,,12049
,Celatiscincus similis,"SADLIER, SMITH & BAUER 2006",,Sauria,Scincidae,,12050
,Celestus adercus,"SAVAGE, LIPS & IBÁÑEZ 2008",,Sauria,Diploglossidae,,12051
,Celestus agasepsoides,(THOMAS 1971),,Sauria,Diploglossidae,,12052
,Celestus anelpistus,"(SCHWARTZ, GRAHAM, & DUVAL 1979)",,Sauria,Diploglossidae,,12053
,Celestus badius,COPE 1868,,Sauria,Diploglossidae,,12054
,Celestus barbouri,GRANT 1940,,Sauria,Diploglossidae,,12055
,Celestus costatus,(COPE 1862),"Celestus costatus costatus (COPE 1862)
Celestus costatus aenetergum SCHWARTZ & JACOBS 1989
Celestus costatus emys SCHWARTZ 1971
Celestus costatus saonae SCHWARTZ 1964
Celestus costatus chalcorhabdus SCHWARTZ 1964
Celestus costatus leionotus SCHWARTZ 1964
Celestus costatus nesobous SCHWARTZ 1964
Celestus costatus oreistes SCHWARTZ 1964
Celestus costatus neiba SCHWARTZ 1964
Celestus costatus psychonothes SCHWARTZ 1964
Celestus costatus melanchrous SCHWARTZ 1964",Sauria,Diploglossidae,,12058
,Celestus crusculus,(GARMAN 1887),"Celestus crusculus crusculus (GARMAN 1887)
Celestus crusculus cundalli GRANT 1940
Celestus crusculus molesworthi GRANT 1940",Sauria,Diploglossidae,,12059
,Celestus curtissi,GRANT 1951,"Celestus curtissi curtissi GRANT 1951
Celestus curtissi aporus SCHWARTZ 1964
Celestus curtissi diastatus SCHWARTZ 1964
Celestus curtissi hylonomus SCHWARTZ 1964",Sauria,Diploglossidae,,12060
,Celestus cyanochloris,COPE 1894,,Sauria,Diploglossidae,,12061
,Celestus darlingtoni,COCHRAN 1939,,Sauria,Diploglossidae,,12062
,Celestus duquesneyi,GRANT 1940,,Sauria,Diploglossidae,,12063
,Celestus enneagrammus,(COPE 1861),,Sauria,Diploglossidae,,12064
,Celestus fowleri,(SCHWARTZ 1971),,Sauria,Diploglossidae,,12065
,Celestus haetianus,(COCHRAN 1927),"Celestus haetianus haetianus (COCHRAN 1927)
Celestus haetianus mylicus (SCHWARTZ 1965)
Celestus haetianus surdus (SCHWARTZ 1965)",Sauria,Diploglossidae,,12066
,Celestus hewardi,GRAY 1845,,Sauria,Diploglossidae,,12067
,Celestus hylaius,SAVAGE & LIPS 1993,,Sauria,Diploglossidae,,12068
