tax_id,Order,MSWFamilyLatin,Scientific,MSW3_ID,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Diet.Source,Diet.Certainty,ForStrat.Value,ForStrat.Certainty,ForStrat.Comment,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,Activity.Source,Activity.Certainty,BodyMass.Value,BodyMass.Source,BodyMass.SpecLevel
16656,Rodentia,Cricetidae,Peromyscus crinitus,1598,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,17.98,Ref_117,1
16657,Rodentia,Cricetidae,Peromyscus dickeyi,1590,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,28.6,Ref_58,1
16658,Rodentia,Cricetidae,Peromyscus difficilis,1596,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,28,Ref_117,1
16659,Rodentia,Cricetidae,Peromyscus eremicus,1606,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,23.65,Ref_117,1
16660,Rodentia,Cricetidae,Peromyscus eva,1594,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,22,Ref_117,1
16661,Rodentia,Cricetidae,Peromyscus furvus,1614,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,33,Ref_117,1
16662,Rodentia,Cricetidae,Peromyscus grandis,1597,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,71,Ref_117,1
16663,Rodentia,Cricetidae,Peromyscus gratus,1584,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,27.35,Ref_117,1
16664,Rodentia,Cricetidae,Peromyscus guardia,1621,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,32.13,Ref_178,2
16665,Rodentia,Cricetidae,Peromyscus guatemalensis,1620,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,40,Ref_117,1
16666,Rodentia,Cricetidae,Peromyscus gymnotis,1619,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,40,Ref_117,1
16667,Rodentia,Cricetidae,Peromyscus hooperi,1618,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,36,Ref_117,1
16668,Rodentia,Cricetidae,Peromyscus interparietalis,1616,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,28,Ref_117,1
16669,Rodentia,Cricetidae,Peromyscus leucopus,1624,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,21.17,Ref_117,1
16670,Rodentia,Cricetidae,Peromyscus levipes,1622,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,23,Ref_128,1
16671,Rodentia,Cricetidae,Peromyscus madrensis,1615,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,32.2,Ref_178,2
16672,Rodentia,Cricetidae,Peromyscus maniculatus,1611,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,21.28,Ref_117,1
16673,Rodentia,Cricetidae,Peromyscus mayensis,1610,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,32,Ref_128,1
16674,Rodentia,Cricetidae,Peromyscus megalops,1609,50,0,0,0,0,10,20,0,20,0,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,66.2,Ref_117,1
