"speciesname","class","order","family","freq","env.var","corr.coeff","z.cor.yi","z.cor.vi","Species_ph","SPID"
"Scotorepens greyii","mammal","Chiroptera","Vespertilionidae",6,"npp",0.369781840296317,0.388170360397893,0.333333333333333,"Scotorepens_greyii","SP450"
"Sigmodon arizonae","mammal","Rodentia","Cricetidae",41,"npp",0.0136339914335249,0.0136348363158735,0.0263157894736842,"Sigmodon_arizonae","SP451"
"Sigmodon fulviventer","mammal","Rodentia","Cricetidae",21,"npp",0.010663639461091,0.0106640436875498,0.0555555555555556,"Sigmodon_fulviventer","SP452"
"Sigmodon hirsutus","mammal","Rodentia","Cricetidae",16,"npp",-0.145628274825286,-0.146671051337505,0.0769230769230769,"Sigmodon_hirsutus","SP453"
"Sigmodon hispidus","mammal","Rodentia","Cricetidae",123,"npp",-0.0811716152685997,-0.0813505987333642,0.00833333333333333,"Sigmodon_hispidus","SP454"
"Sigmodon ochrognathus","mammal","Rodentia","Cricetidae",17,"npp",0.0936621578009439,0.0939374953921134,0.0714285714285714,"Sigmodon_ochrognathus","SP455"
"Sorex araneus","mammal","Soricomorpha","Soricidae",6,"npp",-0.430402117531352,-0.460390121140235,0.333333333333333,"Sorex_araneus","SP456"
"Sorex arcticus","mammal","Soricomorpha","Soricidae",9,"npp",0.269986795255479,0.276849579645995,0.166666666666667,"Sorex_arcticus","SP457"
"Sorex bairdi","mammal","Soricomorpha","Soricidae",14,"npp",0.541648874293182,0.606486139904869,0.0909090909090909,"Sorex_bairdi","SP458"
"Sorex bendirii","mammal","Soricomorpha","Soricidae",62,"npp",0.468756946014061,0.508476030889598,0.0169491525423729,"Sorex_bendirii","SP459"
"Sorex caecutiens","mammal","Soricomorpha","Soricidae",30,"npp",-0.446742054303556,-0.480622553827504,0.037037037037037,"Sorex_caecutiens","SP460"
"Sorex cinereus","mammal","Soricomorpha","Soricidae",785,"npp",-0.142459560670962,-0.143435194586211,0.00127877237851662,"Sorex_cinereus","SP461"
"Sorex daphaenodon","mammal","Soricomorpha","Soricidae",6,"npp",-0.130526774823657,-0.131275717764298,0.333333333333333,"Sorex_daphaenodon","SP462"
"Sorex fumeus","mammal","Soricomorpha","Soricidae",22,"npp",0.177891326302665,0.179804257239829,0.0526315789473684,"Sorex_fumeus","SP463"
"Sorex haydeni","mammal","Soricomorpha","Soricidae",27,"npp",-0.425872056192696,-0.454843302341801,0.0416666666666667,"Sorex_haydeni","SP464"
"Sorex hoyi","mammal","Soricomorpha","Soricidae",108,"npp",0.0484581546946251,0.0484961379201126,0.00952380952380952,"Sorex_hoyi","SP465"
"Sorex isodon","mammal","Soricomorpha","Soricidae",12,"npp",0.188279489293459,0.190552825163389,0.111111111111111,"Sorex_isodon","SP466"
"Sorex longirostris","mammal","Soricomorpha","Soricidae",6,"npp",-0.719759032534499,-0.907144815735586,0.333333333333333,"Sorex_longirostris","SP467"
"Sorex merriami","mammal","Soricomorpha","Soricidae",21,"npp",-0.0797361224752828,-0.0799057534548088,0.0555555555555556,"Sorex_merriami","SP468"
"Sorex minutissimus","mammal","Soricomorpha","Soricidae",10,"npp",-0.511900028058367,-0.565301095068139,0.142857142857143,"Sorex_minutissimus","SP469"
"Sorex monticolus","mammal","Soricomorpha","Soricidae",876,"npp",-0.0171558669423536,-0.0171575503661284,0.0011454753722795,"Sorex_monticolus","SP470"
"Sorex nanus","mammal","Soricomorpha","Soricidae",22,"npp",0.148083236691565,0.149180126835286,0.0526315789473684,"Sorex_nanus","SP471"
"Sorex ornatus","mammal","Soricomorpha","Soricidae",58,"npp",-0.393782113771168,-0.416268403267021,0.0181818181818182,"Sorex_ornatus","SP472"
"Sorex pacificus","mammal","Soricomorpha","Soricidae",48,"npp",0.468092622514483,0.507624964913396,0.0222222222222222,"Sorex_pacificus","SP473"
"Sorex palustris","mammal","Soricomorpha","Soricidae",112,"npp",-0.0883576464258496,-0.0885886677743482,0.00917431192660551,"Sorex_palustris","SP474"
"Sorex preblei","mammal","Soricomorpha","Soricidae",19,"npp",-0.425669266107069,-0.454595610518359,0.0625,"Sorex_preblei","SP475"
"Sorex trowbridgii","mammal","Soricomorpha","Soricidae",185,"npp",0.150512674715154,0.151664952660905,0.00549450549450549,"Sorex_trowbridgii","SP476"
"Sorex tundrensis","mammal","Soricomorpha","Soricidae",157,"npp",-0.0116779600401974,-0.0116784909432688,0.00649350649350649,"Sorex_tundrensis","SP477"
"Sorex ugyunak","mammal","Soricomorpha","Soricidae",33,"npp",-0.288363087637487,-0.296779970241813,0.0333333333333333,"Sorex_ugyunak","SP478"
"Sorex vagrans","mammal","Soricomorpha","Soricidae",237,"npp",-0.0923889630442237,-0.092653186360277,0.00427350427350427,"Sorex_vagrans","SP479"
"Spermophilus alashanicus","mammal","Rodentia","Sciuridae",5,"npp",0.59922143405445,0.691931557960507,0.5,"Spermophilus_alashanicus","SP480"
"Spermophilus beecheyi","mammal","Rodentia","Sciuridae",67,"npp",0.186916888153654,0.189140520418738,0.015625,"Spermophilus_beecheyi","SP481"
"Spermophilus beldingi","mammal","Rodentia","Sciuridae",31,"npp",-0.178166600940363,-0.180088542092338,0.0357142857142857,"Spermophilus_beldingi","SP482"
"Spermophilus columbianus","mammal","Rodentia","Sciuridae",32,"npp",-0.170195543342498,-0.171868033121776,0.0344827586206897,"Spermophilus_columbianus","SP483"
"Spermophilus elegans","mammal","Rodentia","Sciuridae",49,"npp",0.0205641299386451,0.0205670294177029,0.0217391304347826,"Spermophilus_elegans","SP484"
"Spermophilus mohavensis","mammal","Rodentia","Sciuridae",5,"npp",0.566935557973453,0.642995286635909,0.5,"Spermophilus_mohavensis","SP485"
