"speciesname","class","order","family","freq","env.var","corr.coeff","z.cor.yi","z.cor.vi","Species_ph","SPID"
"Abrothrix longipilis","mammal","Rodentia","Cricetidae",46,"tavg",0.472116207819002,0.512790036392757,0.0232558139534884,"Abrothrix_longipilis","SP1"
"Abrothrix olivaceus","mammal","Rodentia","Cricetidae",64,"tavg",0.440691745074895,0.473088947321954,0.0163934426229508,"Abrothrix_olivaceus","SP2"
"Alces alces","mammal","Artiodactyla","Cervidae",14,"tavg",-0.339362805976837,-0.353372223577681,0.0909090909090909,"Alces_alces","SP3"
"Allactaga balikunica","mammal","Rodentia","Dipodidae",11,"tavg",-0.706431760668521,-0.880024832716962,0.125,"Allactaga_balikunica","SP4"
"Allactaga bullata","mammal","Rodentia","Dipodidae",8,"tavg",-0.199300290055294,-0.202003795632549,0.2,"Allactaga_bullata","SP5"
"Allactaga sibirica","mammal","Rodentia","Dipodidae",26,"tavg",-0.186630443637861,-0.188843722274775,0.0434782608695652,"Allactaga_sibirica","SP6"
"Allocricetulus curtatus","mammal","Rodentia","Cricetidae",6,"tavg",0.443581348528211,0.476680685695395,0.333333333333333,"Allocricetulus_curtatus","SP7"
"Alticola barakshin","mammal","Rodentia","Cricetidae",6,"tavg",-0.329924381593359,-0.342743397172337,0.333333333333333,"Alticola_barakshin","SP8"
"Alticola lemminus","mammal","Rodentia","Cricetidae",8,"tavg",-0.816641966407849,-1.14665214662812,0.2,"Alticola_lemminus","SP9"
"Alticola strelzowi","mammal","Rodentia","Cricetidae",10,"tavg",0.0289782929429163,0.028986408456962,0.142857142857143,"Alticola_strelzowi","SP10"
"Ammospermophilus harrisii","mammal","Rodentia","Sciuridae",41,"tavg",-0.208100546916717,-0.211185089328025,0.0263157894736842,"Ammospermophilus_harrisii","SP11"
"Ammospermophilus leucurus","mammal","Rodentia","Sciuridae",86,"tavg",-0.0167374837522502,-0.0167390469800073,0.0120481927710843,"Ammospermophilus_leucurus","SP12"
"Ammospermophilus nelsoni","mammal","Rodentia","Sciuridae",6,"tavg",0.428929158328791,0.458583667234452,0.333333333333333,"Ammospermophilus_nelsoni","SP13"
"Anoura geoffroyi","mammal","Chiroptera","Phyllostomidae",14,"tavg",0.140747831178378,0.1416884393839,0.0909090909090909,"Anoura_geoffroyi","SP14"
"Anourosorex squamipes","mammal","Insectivora","Soricidae",5,"tavg",0.848595004264045,1.25111141749509,0.5,"Anourosorex_squamipes","SP15"
"Antechinus stuartii","mammal","Dasyuromorphia","Dasyuridae",5,"tavg",0.227574781840878,0.231630290384489,0.5,"Antechinus_stuartii","SP16"
"Antrozous pallidus","mammal","Chiroptera","Vespertilionidae",42,"tavg",-0.145466412755428,-0.146505686166633,0.0256410256410256,"Antrozous_pallidus","SP17"
"Aplodontia rufa","mammal","Rodentia","Aplodontiidae",38,"tavg",-0.130749193201612,-0.131501997904124,0.0285714285714286,"Aplodontia_rufa","SP18"
"Apodemus agrarius","mammal","Rodentia","Muridae",15,"tavg",0.000949767736261865,0.000949768021844108,0.0833333333333333,"Apodemus_agrarius","SP19"
"Apodemus draco","mammal","Rodentia","Muridae",6,"tavg",-0.762258749243724,-1.00158437244568,0.333333333333333,"Apodemus_draco","SP20"
"Apodemus pallipes","mammal","Rodentia","Muridae",12,"tavg",0.234081359246178,0.238503091312653,0.111111111111111,"Apodemus_pallipes","SP21"
"Apodemus peninsulae","mammal","Rodentia","Muridae",17,"tavg",0.669073518297659,0.809063865477398,0.0714285714285714,"Apodemus_peninsulae","SP22"
"Apodemus sylvaticus","mammal","Rodentia","Muridae",5,"tavg",0.741636393358034,0.954106242694651,0.5,"Apodemus_sylvaticus","SP23"
"Apodemus uralensis","mammal","Rodentia","Muridae",12,"tavg",0.200369284344633,0.203117254862049,0.111111111111111,"Apodemus_uralensis","SP24"
"Arborimus albipes","mammal","Rodentia","Cricetidae",23,"tavg",-0.030773972141138,-0.0307836923654436,0.05,"Arborimus_albipes","SP25"
"Arborimus longicaudus","mammal","Rodentia","Cricetidae",26,"tavg",0.0590534333211751,0.0591222231499951,0.0434782608695652,"Arborimus_longicaudus","SP26"
"Ardops nichollsi","mammal","Chiroptera","Phyllostomidae",10,"tavg",0.00877583881945821,0.00877606412129332,0.142857142857143,"Ardops_nichollsi","SP27"
"Artibeus anderseni","mammal","Chiroptera","Phyllostomidae",5,"tavg",-0.332332826283511,-0.345448441518673,0.5,"Artibeus_anderseni","SP28"
"Artibeus fimbriatus","mammal","Chiroptera","Phyllostomidae",10,"tavg",0.250522274058632,0.255969981868632,0.142857142857143,"Artibeus_fimbriatus","SP29"
"Artibeus fraterculus","mammal","Chiroptera","Phyllostomidae",14,"tavg",-0.34545678905955,-0.360275625013337,0.0909090909090909,"Artibeus_fraterculus","SP30"
"Artibeus jamaicensis","mammal","Chiroptera","Phyllostomidae",78,"tavg",-0.195371923978041,-0.197916248052662,0.0133333333333333,"Artibeus_jamaicensis","SP31"
"Artibeus lituratus","mammal","Chiroptera","Phyllostomidae",77,"tavg",-0.0623048732423092,-0.0623856819121597,0.0135135135135135,"Artibeus_lituratus","SP32"
"Artibeus obscurus","mammal","Chiroptera","Phyllostomidae",13,"tavg",0.114647537706529,0.115153848019901,0.1,"Artibeus_obscurus","SP33"
"Artibeus phaeotis","mammal","Chiroptera","Phyllostomidae",16,"tavg",0.183206264989805,0.185298304839772,0.0769230769230769,"Artibeus_phaeotis","SP34"
"Artibeus toltecus","mammal","Chiroptera","Phyllostomidae",14,"tavg",-0.176139539090585,-0.177995802548059,0.0909090909090909,"Artibeus_toltecus","SP35"
"Artibeus watsoni","mammal","Chiroptera","Phyllostomidae",12,"tavg",-0.134158257013526,-0.134971941978334,0.111111111111111,"Artibeus_watsoni","SP36"
"Arvicanthis niloticus","mammal","Rodentia","Muridae",6,"tavg",0.0784262126617355,0.0785875999386293,0.333333333333333,"Arvicanthis_niloticus","SP37"
"Baiomys taylori","mammal","Rodentia","Cricetidae",27,"tavg",-0.202052576782052,-0.20487157281716,0.0416666666666667,"Baiomys_taylori","SP38"
"Balantiopteryx plicata","mammal","Chiroptera","Emballonuridae",9,"tavg",0.103725169648703,0.104099579532506,0.166666666666667,"Balantiopteryx_plicata","SP39"
"Bassariscus astutus","mammal","Carnivora","Procyonidae",23,"tavg",0.133006850416431,0.133799615905747,0.05,"Bassariscus_astutus","SP40"
"Blarina brevicauda","mammal","Eulipotyphla","Soricidae",80,"tavg",-0.369387796952349,-0.387713978499916,0.012987012987013,"Blarina_brevicauda","SP41"
"Blarina carolinensis","mammal","Eulipotyphla","Soricidae",5,"tavg",-0.0485223444054628,-0.0485604789162334,0.5,"Blarina_carolinensis","SP42"
"Blarina hylophaga","mammal","Eulipotyphla","Soricidae",24,"tavg",0.261163961264063,0.267357162536378,0.0476190476190476,"Blarina_hylophaga","SP43"
"Brachyphylla cavernarum","mammal","Chiroptera","Phyllostomidae",25,"tavg",0.232136882635033,0.23644687964596,0.0454545454545455,"Brachyphylla_cavernarum","SP44"
"Calomys callosus","mammal","Rodentia","Cricetidae",7,"tavg",-0.436276594892089,-0.467622815579221,0.25,"Calomys_callosus","SP45"
"Canis latrans","mammal","Carnivora","Canidae",54,"tavg",0.036230262200032,0.0362461270293415,0.0196078431372549,"Canis_latrans","SP46"
"Canis lupus","mammal","Carnivora","Canidae",99,"tavg",-0.516691526482504,-0.57181575145396,0.0104166666666667,"Canis_lupus","SP47"
"Cardiocranius paradoxus","mammal","Rodentia","Dipodidae",7,"tavg",0.00809018446623406,0.00809036097694866,0.25,"Cardiocranius_paradoxus","SP48"
"Carollia brevicauda","mammal","Chiroptera","Phyllostomidae",35,"tavg",0.0202340198714751,0.0202367819241965,0.03125,"Carollia_brevicauda","SP49"
"Carollia castanea","mammal","Chiroptera","Phyllostomidae",14,"tavg",0.156933722774089,0.15824143314157,0.0909090909090909,"Carollia_castanea","SP50"
"Carollia perspicillata","mammal","Chiroptera","Phyllostomidae",47,"tavg",-0.0171405091875787,-0.017142188093918,0.0227272727272727,"Carollia_perspicillata","SP51"
"Carollia subrufa","mammal","Chiroptera","Phyllostomidae",7,"tavg",0.594702973761536,0.684911289054502,0.25,"Carollia_subrufa","SP52"
"Castor canadensis","mammal","Rodentia","Castoridae",37,"tavg",0.155136485960007,0.1563993465859,0.0294117647058824,"Castor_canadensis","SP53"
"Centurio senex","mammal","Chiroptera","Phyllostomidae",7,"tavg",0.616532202619516,0.719391435604983,0.25,"Centurio_senex","SP54"
"Chaerephon pumilus","mammal","Chiroptera","Molossidae",15,"tavg",0.593277970426353,0.682709405765154,0.0833333333333333,"Chaerephon_pumilus","SP55"
"Chaetodipus arenarius","mammal","Rodentia","Heteromyidae",19,"tavg",0.4818166641254,0.525347489942658,0.0625,"Chaetodipus_arenarius","SP56"
"Chaetodipus baileyi","mammal","Rodentia","Heteromyidae",105,"tavg",-0.214935745729332,-0.218340451598037,0.00980392156862745,"Chaetodipus_baileyi","SP57"
"Chaetodipus californicus","mammal","Rodentia","Heteromyidae",52,"tavg",0.0441278947896502,0.0441565712930578,0.0204081632653061,"Chaetodipus_californicus","SP58"
"Chaetodipus dalquesti","mammal","Rodentia","Heteromyidae",6,"tavg",0.559572625017586,0.632210771055381,0.333333333333333,"Chaetodipus_dalquesti","SP59"
"Chaetodipus eremicus","mammal","Rodentia","Heteromyidae",31,"tavg",-0.475602163184871,-0.517285402438297,0.0357142857142857,"Chaetodipus_eremicus","SP60"
"Chaetodipus fallax","mammal","Rodentia","Heteromyidae",20,"tavg",-0.0939901065573552,-0.0942683568384192,0.0588235294117647,"Chaetodipus_fallax","SP61"
"Chaetodipus formosus","mammal","Rodentia","Heteromyidae",53,"tavg",-0.331390831006476,-0.344389862399762,0.02,"Chaetodipus_formosus","SP62"
"Chaetodipus goldmani","mammal","Rodentia","Heteromyidae",13,"tavg",0.124047857201721,0.124690074596809,0.1,"Chaetodipus_goldmani","SP63"
"Chaetodipus hispidus","mammal","Rodentia","Heteromyidae",42,"tavg",-0.298406285729935,-0.307769187721092,0.0256410256410256,"Chaetodipus_hispidus","SP64"
"Chaetodipus intermedius","mammal","Rodentia","Heteromyidae",96,"tavg",-0.130793345625126,-0.131546918520721,0.010752688172043,"Chaetodipus_intermedius","SP65"
"Chaetodipus nelsoni","mammal","Rodentia","Heteromyidae",39,"tavg",-0.0178367843185875,-0.0178386762759357,0.0277777777777778,"Chaetodipus_nelsoni","SP66"
"Chaetodipus penicillatus","mammal","Rodentia","Heteromyidae",106,"tavg",0.221544034054826,0.225279256114692,0.00970873786407767,"Chaetodipus_penicillatus","SP67"
"Chaetodipus pernix","mammal","Rodentia","Heteromyidae",7,"tavg",0.264620900660313,0.271070762658636,0.25,"Chaetodipus_pernix","SP68"
"Chaetodipus rudinoris","mammal","Rodentia","Heteromyidae",16,"tavg",-0.166737831672343,-0.1683093174953,0.0769230769230769,"Chaetodipus_rudinoris","SP69"
"Chaetodipus spinatus","mammal","Rodentia","Heteromyidae",34,"tavg",0.0675453499839769,0.0676483544881216,0.032258064516129,"Chaetodipus_spinatus","SP70"
"Chalinolobus nigrogriseus","mammal","Chiroptera","Vespertilionidae",5,"tavg",0.711313742853394,0.88983807110342,0.5,"Chalinolobus_nigrogriseus","SP71"
"Chiroderma salvini","mammal","Chiroptera","Phyllostomidae",6,"tavg",-0.00667638699664008,-0.00667648619737008,0.333333333333333,"Chiroderma_salvini","SP72"
"Chiroderma trinitatum","mammal","Chiroptera","Phyllostomidae",8,"tavg",-0.256688407098542,-0.26255998178107,0.2,"Chiroderma_trinitatum","SP73"
"Chiroderma villosum","mammal","Chiroptera","Phyllostomidae",17,"tavg",0.287372189866047,0.295699539451769,0.0714285714285714,"Chiroderma_villosum","SP74"
"Choeronycteris mexicana","mammal","Chiroptera","Phyllostomidae",11,"tavg",0.0316134825749081,0.031624020528925,0.125,"Choeronycteris_mexicana","SP75"
"Chrotopterus auritus","mammal","Chiroptera","Phyllostomidae",7,"tavg",0.112497255989165,0.112975467161387,0.25,"Chrotopterus_auritus","SP76"
"Condylura cristata","mammal","Soricomorpha","Talpidae",14,"tavg",-0.292636634585577,-0.301447413215091,0.0909090909090909,"Condylura_cristata","SP77"
"Corynorhinus townsendii","mammal","Chiroptera","Vespertilionidae",34,"tavg",0.0878457994632523,0.0880728168095241,0.032258064516129,"Corynorhinus_townsendii","SP78"
"Cratogeomys castanops","mammal","Rodentia","Geomyidae",116,"tavg",-0.12348028703758,-0.124113675395208,0.00884955752212389,"Cratogeomys_castanops","SP79"
"Cratogeomys goldmani","mammal","Rodentia","Geomyidae",5,"tavg",0.482033622657765,0.525630080702496,0.5,"Cratogeomys_goldmani","SP80"
"Cricetulus barabensis","mammal","Rodentia","Cricetidae",8,"tavg",-0.0641324158045343,-0.0642205582545893,0.2,"Cricetulus_barabensis","SP81"
"Cricetulus longicaudatus","mammal","Rodentia","Cricetidae",20,"tavg",-0.0900841117861956,-0.0903289871588317,0.0588235294117647,"Cricetulus_longicaudatus","SP82"
"Cricetulus migratorius","mammal","Rodentia","Cricetidae",17,"tavg",0.111814687657758,0.112284203421446,0.0714285714285714,"Cricetulus_migratorius","SP83"
"Crocidura beatus","mammal","Soricomorpha","Soricidae",7,"tavg",-0.349863582273028,-0.365288300931494,0.25,"Crocidura_beatus","SP84"
"Crocidura grayi","mammal","Soricomorpha","Soricidae",5,"tavg",-0.698902323859301,-0.865151456044441,0.5,"Crocidura_grayi","SP85"
"Crocidura sibirica","mammal","Soricomorpha","Soricidae",8,"tavg",0.395012398094904,0.417725308318594,0.2,"Crocidura_sibirica","SP86"
"Cryptotis goodwini","mammal","Eulipotyphla","Soricidae",5,"tavg",0.845909274095041,1.2415928541814,0.5,"Cryptotis_goodwini","SP87"
"Cryptotis magna","mammal","Eulipotyphla","Soricidae",5,"tavg",-0.35428461117752,-0.370334899769576,0.5,"Cryptotis_magna","SP88"
"Cryptotis parva","mammal","Eulipotyphla","Soricidae",35,"tavg",0.0111170650748807,0.0111175230916667,0.03125,"Cryptotis_parva","SP89"
"Ctenomys opimus","mammal","Rodentia","Ctenomyidae",5,"tavg",0.657602683933941,0.788577932793873,0.5,"Ctenomys_opimus","SP90"
"Cuniculus paca","mammal","Rodentia","Cuniculidae",5,"tavg",0.208383274215345,0.211480632780141,0.5,"Cuniculus_paca","SP91"
"Cynomys gunnisoni","mammal","Rodentia","Sciuridae",12,"tavg",-0.724573801722301,-0.91720775880328,0.111111111111111,"Cynomys_gunnisoni","SP92"
"Cynomys ludovicianus","mammal","Rodentia","Sciuridae",18,"tavg",-0.0976299395235518,-0.0979419156662105,0.0666666666666667,"Cynomys_ludovicianus","SP93"
"Cynopterus brachyotis","mammal","Chiroptera","Pteropodidae",37,"tavg",0.255997997685966,0.261821013358014,0.0294117647058824,"Cynopterus_brachyotis","SP94"
"Cynopterus sphinx","mammal","Chiroptera","Pteropodidae",7,"tavg",-0.518667688020332,-0.574515399787683,0.25,"Cynopterus_sphinx","SP95"
"Dasypus novemcinctus","mammal","Cingulata","Dasypodidae",14,"tavg",-0.297681363495038,-0.306973592629175,0.0909090909090909,"Dasypus_novemcinctus","SP96"
"Delphinus capensis","mammal","Cetacea","Delphinidae",30,"tavg",-0.023973238874853,-0.0239778330619426,0.037037037037037,"Delphinus_capensis","SP97"
"Delphinus delphis","mammal","Cetacea","Delphinidae",20,"tavg",0.31556305272471,0.326711752236053,0.0588235294117647,"Delphinus_delphis","SP98"
"Desmodillus auricularis","mammal","Rodentia","Muridae",6,"tavg",0.187985939958052,0.190248504733023,0.333333333333333,"Desmodillus_auricularis","SP99"
"Desmodus rotundus","mammal","Chiroptera","Phyllostomidae",47,"tavg",-0.350369386264653,-0.365864769334064,0.0227272727272727,"Desmodus_rotundus","SP100"
"Dicrostonyx groenlandicus","mammal","Rodentia","Cricetidae",43,"tavg",-0.0281933577858874,-0.028200831325576,0.025,"Dicrostonyx_groenlandicus","SP101"
"Dicrostonyx torquatus","mammal","Rodentia","Cricetidae",15,"tavg",-0.199636128570702,-0.202353550028069,0.0833333333333333,"Dicrostonyx_torquatus","SP102"
"Didelphis albiventris","mammal","Didelphimorphia","Didelphidae",5,"tavg",-0.5,-0.549306144334055,0.5,"Didelphis_albiventris","SP103"
"Didelphis marsupialis","mammal","Didelphimorphia","Didelphidae",16,"tavg",0.270716123116009,0.277636417458469,0.0769230769230769,"Didelphis_marsupialis","SP104"
"Didelphis virginiana","mammal","Didelphimorphia","Didelphidae",43,"tavg",-0.249937993882689,-0.255346673118036,0.025,"Didelphis_virginiana","SP105"
"Dipodomys agilis","mammal","Rodentia","Heteromyidae",74,"tavg",-0.387678046403373,-0.409064473482397,0.0140845070422535,"Dipodomys_agilis","SP106"
"Dipodomys californicus","mammal","Rodentia","Heteromyidae",14,"tavg",-0.388124894668476,-0.409590466669002,0.0909090909090909,"Dipodomys_californicus","SP107"
"Dipodomys deserti","mammal","Rodentia","Heteromyidae",56,"tavg",-0.0870566897903242,-0.0872776256949211,0.0188679245283019,"Dipodomys_deserti","SP108"
"Dipodomys heermanni","mammal","Rodentia","Heteromyidae",29,"tavg",0.362031554378205,0.379221915135508,0.0384615384615385,"Dipodomys_heermanni","SP109"
"Dipodomys ingens","mammal","Rodentia","Heteromyidae",5,"tavg",0.830717992526398,1.19044875351856,0.5,"Dipodomys_ingens","SP110"
"Dipodomys merriami","mammal","Rodentia","Heteromyidae",332,"tavg",-0.109970028075889,-0.110416576865008,0.00303951367781155,"Dipodomys_merriami","SP111"
"Dipodomys microps","mammal","Rodentia","Heteromyidae",59,"tavg",-0.172391591401461,-0.174130465323186,0.0178571428571429,"Dipodomys_microps","SP112"
"Dipodomys nelsoni","mammal","Rodentia","Heteromyidae",13,"tavg",-0.22687926702965,-0.230896909528428,0.1,"Dipodomys_nelsoni","SP113"
"Dipodomys nitratoides","mammal","Rodentia","Heteromyidae",7,"tavg",-0.747445247111046,-0.967141036579448,0.25,"Dipodomys_nitratoides","SP114"
"Dipodomys ordii","mammal","Rodentia","Heteromyidae",166,"tavg",-0.294460921320911,-0.303443724634743,0.00613496932515337,"Dipodomys_ordii","SP115"
"Dipodomys panamintinus","mammal","Rodentia","Heteromyidae",39,"tavg",0.0684857875766178,0.068593162946727,0.0277777777777778,"Dipodomys_panamintinus","SP116"
"Dipodomys simulans","mammal","Rodentia","Heteromyidae",10,"tavg",-0.376247824872198,-0.395681486661409,0.142857142857143,"Dipodomys_simulans","SP117"
"Dipodomys spectabilis","mammal","Rodentia","Heteromyidae",46,"tavg",-0.0672063990074204,-0.0673078578207423,0.0232558139534884,"Dipodomys_spectabilis","SP118"
"Dipodomys stephensi","mammal","Rodentia","Heteromyidae",8,"tavg",-0.438809436244346,-0.470755368265645,0.2,"Dipodomys_stephensi","SP119"
"Dipodomys venustus","mammal","Rodentia","Heteromyidae",7,"tavg",-0.0418989397737038,-0.0419234837897888,0.25,"Dipodomys_venustus","SP120"
"Dipus sagitta","mammal","Rodentia","Dipodidae",15,"tavg",-0.62648220079627,-0.735604571998757,0.0833333333333333,"Dipus_sagitta","SP121"
"Dobsonia moluccensis","mammal","Chiroptera","Pteropodidae",9,"tavg",-0.506920989628887,-0.558577171346702,0.166666666666667,"Dobsonia_moluccensis","SP122"
"Dolichotis salinicola","mammal","Rodentia","Caviidae",6,"tavg",0.448951693133626,0.483386563559538,0.333333333333333,"Dolichotis_salinicola","SP123"
"Elephantulus edwardii","mammal","Macroscelidea","Macroscelididae",5,"tavg",0.212098991305655,0.215368190403234,0.5,"Elephantulus_edwardii","SP124"
"Elephantulus intufi","mammal","Macroscelidea","Macroscelididae",8,"tavg",-0.46801151778776,-0.507521107958932,0.2,"Elephantulus_intufi","SP125"
"Elephantulus rozeti","mammal","Macroscelidea","Macroscelididae",5,"tavg",-0.102232602513691,-0.102591014297633,0.5,"Elephantulus_rozeti","SP126"
"Elephantulus rupestris","mammal","Macroscelidea","Macroscelididae",17,"tavg",0.382154600301895,0.402580300643975,0.0714285714285714,"Elephantulus_rupestris","SP127"
"Eliomys quercinus","mammal","Rodentia","Myoxidae",13,"tavg",-0.0324671041051408,-0.0324785193229697,0.1,"Eliomys_quercinus","SP128"
"Ellobius tancrei","mammal","Rodentia","Cricetidae",19,"tavg",0.149736624121511,0.150871008580188,0.0625,"Ellobius_tancrei","SP129"
"Emballonura alecto","mammal","Chiroptera","Emballonuridae",8,"tavg",0.0613182873372553,0.0613953120476678,0.2,"Emballonura_alecto","SP130"
"Enhydra lutris","mammal","Carnivora","Mustelidae",138,"tavg",0.0505872495201177,0.050630468000089,0.00740740740740741,"Enhydra_lutris","SP131"
"Eonycteris spelaea","mammal","Chiroptera","Pteropodidae",7,"tavg",0.715626375368742,0.898622286568846,0.25,"Eonycteris_spelaea","SP132"
"Epomophorus wahlbergi","mammal","Chiroptera","Pteropodidae",9,"tavg",0.0199748890028022,0.0199775462738495,0.166666666666667,"Epomophorus_wahlbergi","SP133"
"Eptesicus brasiliensis","mammal","Chiroptera","Vespertilionidae",8,"tavg",0.536485425541731,0.599207533583859,0.2,"Eptesicus_brasiliensis","SP134"
"Eptesicus furinalis","mammal","Chiroptera","Vespertilionidae",17,"tavg",-0.041170660928493,-0.0411939463581678,0.0714285714285714,"Eptesicus_furinalis","SP135"
"Eptesicus fuscus","mammal","Chiroptera","Vespertilionidae",226,"tavg",0.13038068205974,0.131127095724171,0.00448430493273543,"Eptesicus_fuscus","SP136"
"Eptesicus gobiensis","mammal","Chiroptera","Vespertilionidae",8,"tavg",0.30372012627004,0.313612697711201,0.2,"Eptesicus_gobiensis","SP137"
"Erethizon dorsatum","mammal","Rodentia","Erethizontidae",34,"tavg",-0.167692241591014,-0.169291181260682,0.032258064516129,"Erethizon_dorsatum","SP138"
"Eumetopias jubatus","mammal","Carnivora","Otariidae",8,"tavg",0.225174436137093,0.229100292277622,0.2,"Eumetopias_jubatus","SP139"
"Eumops bonariensis","mammal","Chiroptera","Molossidae",20,"tavg",-0.258470297089659,-0.264468496907859,0.0588235294117647,"Eumops_bonariensis","SP140"
"Eumops glaucinus","mammal","Chiroptera","Molossidae",7,"tavg",-0.72948280831422,-0.927621018290923,0.25,"Eumops_glaucinus","SP141"
"Eumops perotis","mammal","Chiroptera","Molossidae",11,"tavg",-0.0108475025349889,-0.0108479280341315,0.125,"Eumops_perotis","SP142"
"Geomys arenarius","mammal","Rodentia","Geomyidae",10,"tavg",0.414084910525148,0.440531506979404,0.142857142857143,"Geomys_arenarius","SP143"
"Geomys bursarius","mammal","Rodentia","Geomyidae",149,"tavg",-0.221760144676885,-0.225506532759542,0.00684931506849315,"Geomys_bursarius","SP144"
"Geomys knoxjonesi","mammal","Rodentia","Geomyidae",15,"tavg",0.0838351409750545,0.084032380440318,0.0833333333333333,"Geomys_knoxjonesi","SP145"
"Gerbillurus paeba","mammal","Rodentia","Muridae",7,"tavg",0.824220869180234,1.16983999272171,0.25,"Gerbillurus_paeba","SP146"
"Gerbillurus setzeri","mammal","Rodentia","Muridae",9,"tavg",0.23214348788937,0.236453861125717,0.166666666666667,"Gerbillurus_setzeri","SP147"
"Glaucomys sabrinus","mammal","Rodentia","Sciuridae",227,"tavg",-0.477477911863398,-0.519712271303982,0.00446428571428571,"Glaucomys_sabrinus","SP148"
"Glaucomys volans","mammal","Rodentia","Sciuridae",19,"tavg",0.167616913507502,0.169213674615911,0.0625,"Glaucomys_volans","SP149"
"Glossophaga commissarisi","mammal","Chiroptera","Phyllostomidae",17,"tavg",0.129955283147228,0.130694364739092,0.0714285714285714,"Glossophaga_commissarisi","SP150"
"Glossophaga leachii","mammal","Chiroptera","Phyllostomidae",7,"tavg",-0.131336168452775,-0.132099228934903,0.25,"Glossophaga_leachii","SP151"
"Glossophaga longirostris","mammal","Chiroptera","Phyllostomidae",14,"tavg",0.209490685084308,0.212638594202954,0.0909090909090909,"Glossophaga_longirostris","SP152"
"Glossophaga soricina","mammal","Chiroptera","Phyllostomidae",42,"tavg",-0.126131341964445,-0.126806679555078,0.0256410256410256,"Glossophaga_soricina","SP153"
"Grampus griseus","mammal","Cetacea","Delphinidae",7,"tavg",-0.0031387467947895,-0.00313875710221391,0.25,"Grampus_griseus","SP154"
"Gulo gulo","mammal","Carnivora","Mustelidae",17,"tavg",0.486103320539215,0.530945259816535,0.0714285714285714,"Gulo_gulo","SP155"
"Habromys lophurus","mammal","Rodentia","Cricetidae",9,"tavg",-0.535685766482538,-0.598085381622973,0.166666666666667,"Habromys_lophurus","SP156"
"Haplonycteris fischeri","mammal","Chiroptera","Pteropodidae",12,"tavg",-0.199242199942281,-0.201943303433004,0.111111111111111,"Haplonycteris_fischeri","SP157"
"Harpyionycteris whiteheadi","mammal","Chiroptera","Pteropodidae",5,"tavg",-0.249742511267514,-0.255138176085604,0.5,"Harpyionycteris_whiteheadi","SP158"
"Hemiechinus auritus","mammal","Erinaceomorpha","Erinaceidae",5,"tavg",-0.243563428509129,-0.248558792485008,0.5,"Hemiechinus_auritus","SP159"
"Heteromys desmarestianus","mammal","Rodentia","Heteromyidae",34,"tavg",0.268129132171444,0.274846940367444,0.032258064516129,"Heteromys_desmarestianus","SP160"
"Heteromys gaumeri","mammal","Rodentia","Heteromyidae",8,"tavg",-0.704968457369804,-0.877109807338066,0.2,"Heteromys_gaumeri","SP161"
"Hipposideros ater","mammal","Chiroptera","Hipposideridae",8,"tavg",-0.0537823336763551,-0.0538342796997625,0.2,"Hipposideros_ater","SP162"
"Hipposideros bicolor","mammal","Chiroptera","Hipposideridae",5,"tavg",-0.94558800945175,-1.78836749239182,0.5,"Hipposideros_bicolor","SP163"
"Hipposideros caffer","mammal","Chiroptera","Hipposideridae",10,"tavg",-0.176741241775812,-0.17861683886736,0.142857142857143,"Hipposideros_caffer","SP164"
"Hipposideros cervinus","mammal","Chiroptera","Hipposideridae",8,"tavg",-0.427821133794258,-0.457226616476221,0.2,"Hipposideros_cervinus","SP165"
"Hipposideros diadema","mammal","Chiroptera","Hipposideridae",19,"tavg",0.262674686420743,0.268979159922767,0.0625,"Hipposideros_diadema","SP166"
"Hipposideros larvatus","mammal","Chiroptera","Hipposideridae",5,"tavg",0.595491130403115,0.686131611500804,0.5,"Hipposideros_larvatus","SP167"
"Hipposideros obscurus","mammal","Chiroptera","Hipposideridae",6,"tavg",0.07764259182068,0.0777991780653673,0.333333333333333,"Hipposideros_obscurus","SP168"
"Histriophoca fasciata","mammal","Carnivora","Phocidae",5,"tavg",-0.241190955309433,-0.24603824388764,0.5,"Histriophoca_fasciata","SP169"
"Hydromys chrysogaster","mammal","Rodentia","Muridae",5,"tavg",-0.560019526021211,-0.632861634119421,0.5,"Hydromys_chrysogaster","SP170"
"Hylonycteris underwoodi","mammal","Chiroptera","Phyllostomidae",5,"tavg",-0.237195631362761,-0.241800454459932,0.5,"Hylonycteris_underwoodi","SP171"
"Irenomys tarsalis","mammal","Rodentia","Cricetidae",5,"tavg",0.118908886172789,0.1194741195801,0.5,"Irenomys_tarsalis","SP172"
"Jaculus jaculus","mammal","Rodentia","Dipodidae",6,"tavg",0.276472268216922,0.28385831810517,0.333333333333333,"Jaculus_jaculus","SP173"
"Kerivoula hardwickii","mammal","Chiroptera","Vespertilionidae",7,"tavg",-0.366487001543373,-0.384358987533525,0.25,"Kerivoula_hardwickii","SP174"
"Lagenorhynchus obliquidens","mammal","Cetacea","Delphinidae",10,"tavg",-0.364121549522689,-0.381629258756458,0.142857142857143,"Lagenorhynchus_obliquidens","SP175"
"Lasionycteris noctivagans","mammal","Chiroptera","Vespertilionidae",93,"tavg",-0.00878459926413736,-0.00878482524138683,0.0111111111111111,"Lasionycteris_noctivagans","SP176"
