speciesname,class,order,family,Distance,Mig,Notes
Pipistrellus musciculus,mammal,Chiroptera,Vespertilionidae,,0,
Pipistrellus nanulus,mammal,Chiroptera,Vespertilionidae,,0,
Pipistrellus nanus,mammal,Chiroptera,Vespertilionidae,,0,
Pipistrellus nathusii,mammal,Chiroptera,Vespertilionidae,,1,
Pipistrellus paterculus,mammal,Chiroptera,Vespertilionidae,,0,
Pipistrellus peguensis,mammal,Chiroptera,Vespertilionidae,,0,
Pipistrellus permixtus,mammal,Chiroptera,Vespertilionidae,,0,
Pipistrellus petersi,mammal,Chiroptera,Vespertilionidae,,0,
Pipistrellus pipistrellus,mammal,Chiroptera,Vespertilionidae,,1,
Pipistrellus pulveratus,mammal,Chiroptera,Vespertilionidae,,0,
Pipistrellus rueppelli,mammal,Chiroptera,Vespertilionidae,,0,
Pipistrellus rusticus,mammal,Chiroptera,Vespertilionidae,,0,
Pipistrellus savii,mammal,Chiroptera,Vespertilionidae,,0,
Pipistrellus societatis,mammal,Chiroptera,Vespertilionidae,,0,
Pipistrellus stenopterus,mammal,Chiroptera,Vespertilionidae,,0,
Pipistrellus subflavus,mammal,Chiroptera,Vespertilionidae,,1,
Pipistrellus tasmaniensis,mammal,Chiroptera,Vespertilionidae,,0,
Pipistrellus tenuis,mammal,Chiroptera,Vespertilionidae,,0,
Plecotus auritus,mammal,Chiroptera,Vespertilionidae,,0,
Plecotus austriacus,mammal,Chiroptera,Vespertilionidae,,0,
Plecotus mexicanus,mammal,Chiroptera,Vespertilionidae,,0,
Plecotus rafinesquii,mammal,Chiroptera,Vespertilionidae,,0,
Plecotus taivanus,mammal,Chiroptera,Vespertilionidae,,0,
Plecotus teneriffae,mammal,Chiroptera,Vespertilionidae,,0,
Plecotus townsendii,mammal,Chiroptera,Vespertilionidae,,0,
Rhogeesa alleni,mammal,Chiroptera,Vespertilionidae,,0,
Rhogeesa genowaysi,mammal,Chiroptera,Vespertilionidae,,0,
Rhogeesa gracilis,mammal,Chiroptera,Vespertilionidae,,0,
Rhogeesa minutilla,mammal,Chiroptera,Vespertilionidae,,0,
Rhogeesa mira,mammal,Chiroptera,Vespertilionidae,,0,
Rhogeesa parvula,mammal,Chiroptera,Vespertilionidae,,0,
Rhogeesa tumida,mammal,Chiroptera,Vespertilionidae,,0,
Rhogeessa tumida,mammal,Chiroptera,Vespertilionidae,,1,
Scotoecus albofuscus,mammal,Chiroptera,Vespertilionidae,,0,
Scotoecus hirundo,mammal,Chiroptera,Vespertilionidae,,0,
Scotoecus pallidus,mammal,Chiroptera,Vespertilionidae,,0,
Scotomanes emarginatus,mammal,Chiroptera,Vespertilionidae,,0,
Scotomanes ornatus,mammal,Chiroptera,Vespertilionidae,,0,
Scotophilus borbonicus,mammal,Chiroptera,Vespertilionidae,,0,
Scotophilus celebensis,mammal,Chiroptera,Vespertilionidae,,0,
Scotophilus dinganii,mammal,Chiroptera,Vespertilionidae,,1,
Scotophilus dinganii,mammal,Chiroptera,Vespertilionidae,,0,
Scotophilus heathi,mammal,Chiroptera,Vespertilionidae,,0,
Scotophilus kuhlii,mammal,Chiroptera,Vespertilionidae,,1,
Scotophilus kuhlii,mammal,Chiroptera,Vespertilionidae,,0,
Scotophilus leucogaster,mammal,Chiroptera,Vespertilionidae,,0,
Scotophilus nigrita,mammal,Chiroptera,Vespertilionidae,,1,
Scotophilus nigrita,mammal,Chiroptera,Vespertilionidae,,0,
Scotophilus nux,mammal,Chiroptera,Vespertilionidae,,0,
Scotophilus robustus,mammal,Chiroptera,Vespertilionidae,,0,
Scotophilus viridis,mammal,Chiroptera,Vespertilionidae,,0,
Scotorepens greyii,mammal,Chiroptera,Vespertilionidae,,1,
Tylonycteris pachypus,mammal,Chiroptera,Vespertilionidae,,0,
Tylonycteris robustula,mammal,Chiroptera,Vespertilionidae,,1,
Tylonycteris robustula,mammal,Chiroptera,Vespertilionidae,,0,
Vespadelus pumilus,mammal,Chiroptera,Vespertilionidae,,1,
Vespertilio murinus,mammal,Chiroptera,Vespertilionidae,,1,
Vespertilio murinus,mammal,Chiroptera,Vespertilionidae,,1,
Vespertilio superans,mammal,Chiroptera,Vespertilionidae,,0,
Alces alces,mammal,Cetartiodactyla,,337,1,
,,,,,,
