"","species","lat.rng"
"161","Aramus guarauna",60.99999756
"162","Aratinga leucophthalmus",34.74999861
"163","Arborimus albipes",2.08333325
"164","Arborimus longicaudus",3.91666651000001
"165","Archilochus alexandri",21.49999914
"166","Archilochus colubris",34.08333197
"167","Ardea alba",9.74999961
"168","Ardea herodias",23.24999907
"169","Ardops nichollsi",4.83333314
"170","Arenaria interpres",44.66666488
"171","Arenaria melanocephala",22.24999911
"172","Arremon aurantiirostris",17.83333262
"173","Arremon brunneinucha",30.91666543
"174","Arremon flavirostris",4.58333315
"175","Arremon taciturnus",21.58333247
"176","Arremonops rufivirgatus",11.16666622
"177","Arses telescopthalmus",3.66666652
"178","Arthroleptis poecilonotus",3.91666651
"179","Artibeus aequatorialis",5.24999978999999
"180","Artibeus anderseni",13.83333278
"181","Artibeus fimbriatus",4.1666665
"182","Artibeus fraterculus",1.74999993
"183","Artibeus jamaicensis",45.91666483
"184","Artibeus lituratus",48.41666473
"185","Artibeus obscurus",33.83333198
"186","Artibeus phaeotis",12.41666617
"187","Artibeus planirostris",27.4999989
"188","Artibeus schwartzi",0.749999969999999
"189","Artibeus toltecus",9.58333294999999
"190","Artibeus watsoni",8.91666631
"191","Arvicanthis niloticus",3.16666653999999
"192","Asio flammeus",27.91666555
"193","Asio otus",16.16666602
"194","Aspidoscelis tigris",6.41666641
"195","Asthenes dorbignyi",9.66666628
"196","Asthenes pudibunda",8.41666633
"197","Athene cunicularia",87.66666316
"198","Atlapetes albinucha",2.16666658
"199","Atlapetes latinuchus",2.24999991
"200","Attila spadiceus",29.9999988
"201","Aulacorhynchus derbianus",19.49999922
"202","Aulacorhynchus prasinus",30.99999876
"203","Aulacorhynchus sulcatus",1.08333328999999
"204","Auriparus flaviceps",8.66666632
"205","Automolus ochrolaemus",31.16666542
"206","Aythya affinis",18.99999924
"207","Aythya americana",9.66666628
"208","Aythya collaris",21.33333248
"209","Aythya marila",10.41666625
"210","Aythya valisineria",10.91666623
"211","Baeolophus atricristatus",4.33333316
"212","Baeolophus bicolor",16.83333266
"213","Baeolophus inornatus",6.08333309
"214","Baeolophus ridgwayi",10.16666626
"215","Baillonius bailloni",2.16666658
"216","Baiomys taylori",12.33333284
"217","Balantiopteryx plicata",16.24999935
"218","Barnardius zonarius",10.24999959
"219","Bartramia longicauda",42.74999829
"220","Basileuterus belli",4.66666648
"221","Basileuterus culicivorus",55.8333311
"222","Basileuterus lachrymosus",3.3333332
"223","Basileuterus rivularis",34.91666527
"224","Basileuterus rufifrons",8.41666632999999
"225","Basileuterus tristriatus",23.16666574
"226","Bassariscus astutus",11.83333286
"227","Batis capensis",13.3333328
"228","Batis molitor",20.66666584
"229","Batrachoseps attenuatus",4.66666648
"230","Bitia hydroides",0.41666665
"231","Blarina brevicauda",13.24999947
