"speciesname","class","order","family","freq","env.var","corr.coeff","z.cor.yi","z.cor.vi","sd.tavg","sd.tmin","sd.tmax","sd.prec","sd.pet","sd.npp","sd.npp.sd","rng.tavg","rng.tmin","rng.tmax","rng.prec","rng.pet","rng.npp","rng.npp.sd"
"Amphiesma stolatum","reptile","Squamata","Colubridae",13,"npp.sd",0.0118691586707883,0.0118697160814402,0.1,1.42356775001746,1.49964550945995,1.49607145104817,70.1120580760236,92.1293477239925,0.583226129461389,0.265919787176489,4.4857482910156,5.1164989471436,4.98766517639161,208.833343505859,276.01000976563,1.77744317054749,0.975834041833876
"Anolis carolinensis","reptile","Squamata","Dactyloidae",7,"npp.sd",-0.454568828461368,-0.49044408777358,0.25,1.40392161416916,1.63289657634342,1.4079163546506,9.51551429283239,73.8112968437683,0.698161496012112,0.264551878477388,4.3429584503174,4.7066669464111,4.5769996643066,24.250007629395,201.54992675781,2.01374268531799,0.702633023262027
"Aspidoscelis tigris","reptile","Squamata","Teiidae",20,"npp.sd",-0.100983058406057,-0.101328434958857,0.0588235294117647,4.93657623591751,5.16427944708598,4.85826242882712,11.0787122578322,193.748141855964,0.302852357418657,0.175257514177035,13.9095830917359,15.0334998965263,13.8614997863769,43.75,555.669921875,1.35901775583625,0.799238011240959
"Bitia hydroides","reptile","Squamata","Homalopsidae",6,"npp.sd",-0.0887928442422532,-0.0890273069742335,0.333333333333333,0.160351793945486,0.0854976192705944,0.366296797258613,4.86581400248874,15.3134801058042,0.157267005830637,0.0774635825352594,0.406915664672901,0.261022567749002,0.8518257141113,12.08332824707,44.26000976562,0.43676841259002,0.21748822927475
"Boiga cyanea","reptile","Squamata","Colubridae",7,"npp.sd",0.0181818181818182,0.0181838220854374,0.25,1.41427345100459,1.46497635836103,1.42674457549151,108.877136734414,62.8204701653769,0.848356774580149,0.420903041857966,3.7300281524658,3.8411674499511,3.9736442565918,308.75,154.13000488281,1.92808127403259,1.05906295776367
"Boiga irregularis","reptile","Squamata","Colubridae",8,"npp.sd",-0.271649793258211,-0.278644200241321,0.2,0.177962900986928,0.14458133508389,0.240503262381738,4.03672284034892,38.7025480301607,0.34600235221418,0.13771528550004,0.510808944702198,0.3742160797119,0.736425399780199,10.58332824707,94.2099609375,0.90401172637939,0.371949493885045
"Boiga multomaculata","reptile","Squamata","Colubridae",12,"npp.sd",0.285048099801592,0.293168080199823,0.111111111111111,3.15571402680068,3.19142868981842,3.18476596470442,109.0550636247,137.784232186821,1.04142291563809,0.445856068394702,11.0590000152588,11.4965000152588,11.6006660461426,342.916656494141,495.23999023438,2.95486128330231,1.18011799454689
"Boiga ochracea","reptile","Squamata","Colubridae",10,"npp.sd",-0.333333333333333,-0.346573590279973,0.142857142857143,1.79459566461373,1.57943925043527,2.06173947090656,51.3151444904765,110.352858514745,0.655799900630729,0.222553577785346,6.4485836029052,5.2640838623047,7.6300849914551,194.66667175293,406.69995117188,2.21760642528534,0.817523360252381
"Callisaurus draconoides","reptile","Squamata","Phrynosomatidae",11,"npp.sd",-0.280792314171119,-0.288541995562253,0.125,2.14144488702307,2.12842688341185,2.49419154428147,7.22421417590046,113.786976344902,0.298155217879799,0.0540774774639163,7.3170833587647,7.58005619049077,9.2403354644775,20.0833339691162,420.07006835937,0.986923117190602,0.148513346910477
"Cerberus rynchops","reptile","Squamata","Homalopsidae",11,"npp.sd",0.432463248380552,0.462922642428715,0.125,0.433995618986643,0.481126943997908,0.739811032923603,76.4146128035872,86.4751067812306,0.951444331580475,0.329255905428396,1.4893341064453,1.4728736877442,2.2034168243408,197.166671752929,208.52001953124,2.4653406739235,0.868289589881899
"Charina bottae","reptile","Squamata","Boidae",10,"npp.sd",-0.166324144335387,-0.167883830298117,0.142857142857143,2.99083056237482,3.97984028283231,2.22503386686411,23.208371494733,84.3896475466463,1.10847296028117,0.429742821232253,7.45183324813845,10.4528423547745,6.6063327789307,75.083335876465,261.289978027341,3.27213776111602,1.2602304816246
"Chrysopelea ornata","reptile","Squamata","Colubridae",14,"npp.sd",-0.0572377123777663,-0.0573003420876496,0.0909090909090909,2.81890870862191,2.71117463936486,3.02207183967454,97.0330991135789,138.15153263815,0.94155525214418,0.322114998259305,9.3913326263428,9.1138334274292,11.1045837402344,336.583320617676,532.830078125,2.94255805015564,0.986663281917577
"Coluber constrictor","reptile","Squamata","Colubridae",16,"npp.sd",-0.329783512828613,-0.342585330140959,0.0769230769230769,4.33406469708876,4.80530089787182,4.01099216893963,39.4602685255745,176.86287922407,0.844346402664633,0.409786421947625,13.0842494964599,14.770499765873,12.2663326263428,115.999996185302,555.199951171872,3.11488109827041,1.31178426742554
"Contia tenuis","reptile","Squamata","Dipsadidae",8,"npp.sd",0.655404553141516,0.78471479487499,0.2,2.35870998488038,2.77846946415399,2.20508299183539,37.4187991459746,118.039704578929,0.91542325490069,0.312302390399064,6.09283351898196,6.56666660308838,6.0169162750244,88,340.999938964844,2.34311163425445,1.03593528270721
"Crotalus atrox","reptile","Squamata","Viperidae",15,"npp.sd",-0.310642465583241,-0.321256336708584,0.0833333333333333,1.16537216754731,1.11249114115135,1.38480696522077,4.51231433653241,68.0504650577907,0.0938719434943517,0.0600796217015329,4.0536670684814,4.13941574096679,4.1668338775635,15.5,229.68994140625,0.307026103138924,0.207936927676201
"Crotalus mitchellii","reptile","Squamata","Viperidae",5,"npp.sd",0.853491813588197,1.2688726495048,0.5,3.06976341722776,3.473534027584,2.79104216538292,13.1067200633763,95.0291843245856,0.436334403403408,0.197511999058455,8.1124992370606,8.4840831756592,7.7390003204346,24.6666669845581,238.5,1.06615018844604,0.485288083553314
"Crotalus scutulatus","reptile","Squamata","Viperidae",12,"npp.sd",0.66910522549032,0.809121272825336,0.111111111111111,1.77914763166236,2.28829580051795,1.45690933903519,6.04449616124998,50.4112023164854,0.134766301336792,0.113211876942666,5.640832901001,7.87091684341427,3.8559169769287,23.8333330154419,177.07995605468,0.556470774114131,0.338663205504417
"Crotalus viridis","reptile","Squamata","Viperidae",24,"npp.sd",-0.197115460975967,-0.19972962147145,0.0476190476190476,3.28213570736399,3.60627160547251,3.15503801481238,26.2495976497667,138.121209272787,0.648616956846602,0.367904792889302,11.6052498817444,13.3499014079571,11.5177488327026,107.91667175293,445.930053710932,2.85584399104119,1.27011120319366
"Crotaphytus bicinctores","reptile","Squamata","Crotaphytidae",6,"npp.sd",-0.380698780374208,-0.400876617639529,0.333333333333333,6.17202746957193,6.58172383547493,5.8978098660205,9.63092038208996,243.494738251567,0.117585181809265,0.0510107399973725,14.4125833511352,15.9329164922238,12.8905849456787,20.1666660308838,559.08996582031,0.303920689970255,0.116171672940254
"Cylindrophis ruffus","reptile","Squamata","Cylindrophiidae",5,"npp.sd",0.475,0.516507503091148,0.5,1.7364709424632,2.02216336681771,1.45953461544333,87.4515306310594,53.3505777143703,0.82213571923732,0.331379687832129,3.5091667175293,3.9790000915528,3.1700820922851,201.166679382324,148.05993652344,2.09266698360443,0.862587988376615
