"","species","sd.tavg","sd.tmin","sd.tmax","sd.prec","sd.pet","sd.npp","sd.npp.sd","rng.tavg","rng.tmin","rng.tmax","rng.prec","rng.pet","rng.npp","rng.npp.sd"
"1","Abrothrix longipilis",2.88795958426612,2.65466258237377,3.32607239760629,54.2653763090393,192.985554367483,1.01766595814899,0.564382923876781,11.8150835037231,10.1343467235565,14.0209159851074,202.833337783814,824.279968261721,3.73317056894303,2.13583338260651
"2","Abrothrix olivaceus",3.87904943248845,3.52239696639051,4.42413235363643,57.7416706470951,257.339721982808,1.17184267621193,0.700570125178434,19.7645839452743,18.4221668243408,21.105583190918,217.91667175293,1137.32000732422,4.27095633745194,2.34362794458866
"3","Acanthis flammea",6.48878668851606,6.15805504534948,6.89391842690579,29.3513967049325,243.069015374901,4204.21773088943,11551.9135473524,25.3683071136475,23.870083808899,27.0539264678956,155.750004768372,872.379943847656,17735.9436299503,39374.3724614382
"4","Acanthis hornemanni",7.29567369114717,6.52614757361351,8.13524984868005,25.4881462330864,271.203906306245,6765.64021291517,16840.4015377336,18.7857241630554,17.0601515769959,20.514760017395,73.5833330154419,643.460021972656,17735.3552367687,39373.7568587065
"5","Acanthiza apicalis",2.38807222263981,1.64724229812466,3.20240994291401,27.5074851734569,194.500348936719,1.39326834923722,0.389490744040987,5.7809162139892,3.96366596221925,7.6019992828369,59.9999980926514,432.01000976563,3.66057497262954,0.929909765720368
"6","Acanthiza katherina",1.37603738963254,0.786559244029909,2.15334068022316,71.8068908533595,112.554262768472,1.47149499568416,0.300333956988285,4.7600841522217,2.1104154586792,7.5505828857422,255.749988555909,428.26000976563,4.83203238248825,0.990397721529003
"7","Acanthiza pusilla",2.21832265927174,2.23692200265074,2.59775816859043,33.3713332680911,210.748968343925,1.32136776621339,0.364068165725495,5.7434167861939,5.43133258819584,6.8314170837403,83.5,547.890014648432,3.21781969070434,1.04919844865799
"8","Acanthorhynchus tenuirostris",2.85952934166376,3.03401772182423,2.77637777616968,65.2907393638095,190.157599153124,0.499803903347758,0.234917337066405,7.3020830154419,7.37083339691163,8.556999206543,237.333324432373,598.160034179692,1.50568151473999,0.87924927473068
"9","Accipiter cooperii",4.20113591507976,3.96585817458442,4.7946686841741,27.0512907507192,217.796864725852,0.617276457770027,0.454321258771442,18.0602498054505,21.2199165821075,19.5611658096314,177.91667175293,1083.92004394531,3.42110458016395,1.84724070131779
"10","Accipiter gentilis",3.08989844004817,3.34648026242151,3.22558825091967,35.8482402237546,134.437298333808,0.498356445652957,0.452334552212563,14.6330006122589,14.3900830745698,14.8784160614013,158.250005722046,699.489990234372,1.6843867301941,1.44946664571762
"11","Accipiter poliocephalus",2.19853856018323,2.48261526411321,2.07353733898275,65.2719865116095,68.7869427423867,0.489644608813429,0.0983532411121721,6.0889167785645,7.1420001983643,5.8378353118897,176.833328247071,184.72998046875,1.40103268623352,0.294088542461391
"12","Accipiter striatus",4.1824289956814,4.41331869736799,4.41690321882318,37.302416122797,214.990297907147,0.721617690084208,0.526692110845738,21.1809158325196,23.5479164123535,19.0572490692139,254.25,1121.27996826172,4.38886913657188,2.14417243003846
"13","Accipiter tachiro",4.13458673534721,4.75553386518123,3.71798593042246,49.3831381888148,167.928666581494,1.32749440509026,0.25788497437598,9.9705009460449,11.505000114441,10.1222953796387,143.416660308838,438.06994628906,4.21563804149628,0.801614880561832
"14","Acridotheres tristis",6.31956402374013,7.49575446185507,5.15690108686233,51.6634216827754,178.640449281687,1.27938661300173,0.721745162778834,13.7177495956421,16.0958781242371,11.3399906158447,141.833335876465,390.760009765622,3.11094689369202,1.67303988337517
"15","Acrocephalus aedon",1.75060131109817,2.03626170112165,1.49445258097274,9.30370993238425,35.2165143084439,0.626772075340212,0.627454498132619,4.21925014257431,4.95816642045975,3.54808330535888,21.5,83.589965820313,1.39734828472137,1.42885303497315
"16","Acrocephalus arundinaceus",7.80907003516824,7.84969749685647,7.98803116787714,22.2420659113225,462.618408607721,0.502124642310679,0.278932740653599,22.0771656036377,21.552666246891,22.5994997024536,53.0833358764648,1012.95007324218,1.28594893217086,0.824863433837893
"17","Acrocephalus scirpaceus",5.11193536822393,4.96823767363381,5.38073522325983,59.9665822690772,307.394123097208,0.624589532107847,0.197642954490738,16.0092487335205,15.8623328208923,16.5788326263427,196.499994933605,911.679992675779,1.79918095469475,0.58938530087471
"18","Actenoides lindsayi",0.736764075157839,0.62505080054432,1.09323871205177,48.0866393404487,39.6117252972656,0.754414843640283,0.336549157222513,1.9955005645752,1.5633335113525,2.5441665649414,116.250015258789,91.26000976562,1.60934412479401,0.758755534887318
"19","Actitis hypoleucos",12.7156277934887,14.0177481525253,11.6588082413952,95.265842207855,474.608835085963,0.921056250837456,0.483908000177367,31.7625823020935,35.1570005416871,30.1319994926452,283.416656494141,1235.55004882812,3.05574700236321,1.51074832677841
"20","Actitis macularius",7.67196510613084,7.67403560877362,8.06966813568712,42.1771849521807,364.841299073432,0.88524468425075,0.358555475758692,30.7561597824096,33.2304420471191,28.2783854007721,161.5,1367.20001220703,4.01659002900123,1.33323588967323
"21","Adelomyia melanogenys",3.60353925460973,3.36274385915918,3.96229534067738,28.8727900911247,191.45119641207,0.646433549329087,0.365316064690288,13.3425827026368,12.4398331642151,14.241415977478,116.16667175293,654.5,2.11114156246186,1.24284026026725
"22","Aechmophorus clarkii",5.53637457277514,6.1001031072907,5.26313317277656,15.7351219543641,188.800794074259,0.899513286539313,0.441420465909862,18.1525556445122,18.3787488937378,19.4661664962768,63.7500019073486,835.189941406248,3.01290312409401,1.40355682373047
"23","Aechmophorus occidentalis",4.67526198662704,5.36842457867948,4.44809155135706,53.9393875069546,206.721807446915,0.805942976702945,0.53658077791782,22.8109990954399,19.4211664199829,26.2059164047241,207.500004768372,1188.77001953125,2.82246081531047,2.14449371397496
"24","Aegithalos caudatus",3.14443413800063,3.66337068883593,2.88367498878466,27.236396807814,139.321731984798,0.381249280764213,0.267186990085601,10.8208332061768,12.3472499847412,9.29166793823243,75.9166679382326,417.359985351565,1.28648835420609,0.748671531677241
"25","Aegithalos concinnus",5.22631389982276,3.27183003428928,7.33977961172952,44.6667458832453,412.439266844883,1.02648703982782,0.23712806123698,13.5317506790161,8.89899921417236,18.1635017395019,135.333339691162,1009.9800415039,2.96046686172486,0.6995837688446
"26","Aegolius acadicus",3.06800632935985,3.22665121140381,3.69581405218929,42.2007704006042,212.246255529799,0.681902648485459,0.548763279389897,19.8738341331482,18.9254999160767,22.9548878669739,262.583333015442,1282.41003417969,3.65194335579872,2.13806238770485
"27","Aegolius funereus",3.12831668425113,3.61824378710918,3.00216027974712,27.4623676099955,125.080660470736,1890.48639847856,6060.47450605397,15.6872501373291,17.0500001907348,14.3194163143635,111.166666030884,570.629943847661,8868.32265150547,28427.38152349
"28","Aeronautes saxatalis",5.29923787548175,4.90973886422987,5.875645016347,22.5958398106461,301.124681219535,0.823823145418626,0.45232783451142,15.551082611084,15.3829165697098,16.8858337402344,75.75,944.680053710932,2.56675288081169,1.39480724930764
"29","Aethopyga gouldiae",4.58093083361937,3.01223999691815,6.6045596270783,30.3582038157138,373.676386476153,0.740416025503414,0.238849762260714,12.1698322296143,8.8349161148071,15.9840831756592,79.9166679382326,867.179931640622,1.4801412820816,0.752766430377956
"30","Aethopyga nipalensis",4.38406294992571,3.27331553128879,5.54281315311713,14.3619700940865,260.643339122429,0.483908261664004,0.138026106409069,13.154748916626,9.66708326339719,16.6466665267945,42.0000000000002,772.13995361328,1.15941715240479,0.39285695552825
"31","Afrixalus fulvovittatus",1.08353924647245,1.3366899794546,1.06960440021128,16.1725637499615,71.2723972823467,0.483558883379864,0.202803726122792,3.412166595459,4.4550008773804,3.6054172515869,44.91665649414,253.01989746094,1.56543445587158,0.608051002025602
"32","Afrixalus laevis",3.38886248571773,4.02424489383909,2.79128861339496,63.3137860959909,98.8169420047491,1.40021157037541,0.186815382046015,8.2464170455932,9.9625835418701,6.8329162597656,132.000007629395,236.40991210937,3.50595045089722,0.450609922409057
"33","Afrixalus paradorsalis",1.33715564785422,1.44193181037525,1.56850195375707,41.9302851471475,95.4955736846546,0.426198364682797,0.15543347122299,3.4749164581299,3.8891658782959,4.2876663208008,101.916664123535,253.36999511719,1.2962782382965,0.498613059520723
"34","Agama agama",0.73061295103757,1.32959605030586,0.787095387293919,61.9639062170671,172.665671557589,0.96863859538492,0.169864469601867,2.6662502288819,4.0036678314209,2.664499282837,188.66667175293,542.58996582031,3.55334722995758,0.565818309783932
"35","Agama lebretoni",2.19420135512907,2.67879228745499,1.96189156677092,43.7557403533322,106.071484141796,0.652720405481822,0.19083260522096,5.855167388916,7.1639165878296,4.9243316650391,101.41667175293,262.04992675781,1.70936131477356,0.450609922409057
"36","Agapornis roseicollis",5.18256882553489,3.70099593146971,6.6746559661125,25.7893704394153,418.422602894525,0.48742047271945,0.494391218436003,10.9379997253418,8.08774995803837,13.7869997024536,57,856.939941406248,1.05113637447357,1.04886776208877
"37","Agelaius phoeniceus",4.15979977420963,4.0283416337492,4.68277614183126,26.8059246742484,228.685443013147,0.636310178730495,0.480856111027123,24.9390261173248,23.3975358009339,27.1291880607605,126.083338260651,1316.21997070312,3.32171884179116,1.93184772133828
"38","Agelaius tricolor",3.51626915655819,2.84997702460362,4.63408712093745,28.5801371581708,300.377404866736,1.12770406184823,0.460208596490119,8.0755834579467,7.12249946594243,9.1490001678467,72.4999971389771,590.269958496089,2.57897698879242,1.09231227636337
"39","Aglaeactis cupripennis",4.37092068785265,4.38671652177475,4.44464355166043,28.1843384868607,217.246833501179,0.524384364167802,0.280710459601587,13.3899173736572,13.8682497739792,12.9166660308837,92.333335876465,639.059997558589,1.9187518954277,1.00938048958778
"40","Aglaiocercus kingii",3.0726786239562,3.50030406182751,2.72445266876903,28.2404861148922,124.703320336719,0.801158187942425,0.322311308587903,9.8875827789307,10.2860834598541,9.4930000305176,99.66667175293,473.14001464844,2.72311472892762,1.03949362039566
"41","Ahaetulla fronticincta",0.297102419584934,0.343702390029886,0.677605798405537,81.8468827993472,86.6854383080808,0.876974402716462,0.297534100859311,1.050500869751,0.945356369018601,1.9562492370606,197.166671752929,225.27001953124,2.4653406739235,0.85361695289612
